repo,repo_full,candidate_id,condition,status,completion_reason,fail_to_pass_passed,fail_to_pass_total,fail_to_pass_failed,pass_to_pass_passed,pass_to_pass_total,pass_to_pass_failed,failure_mode,agent_duration_seconds,oracle_duration_seconds,total_duration_seconds,edits_applied,files_opened_before_first_edit,exploration_efficiency,total_tokens_including_cache,uncached_input_plus_output_tokens,codex_input_tokens,codex_cached_input_tokens,codex_output_tokens,result_path,metrics_path,generated_at,agent_stdout_path,agent_stdout_present,jsonl_event_count,jsonl_parse_errors,first_edit_event_index,first_edit_detected_from_stdout,command_count_before_first_edit,command_count_after_first_edit,agent_message_count_before_first_edit,agent_message_count_after_first_edit,edit_event_count_before_first_edit,edit_event_count_after_first_edit,validation_test_command_count,validation_test_command_count_before_first_edit,validation_test_command_count_after_first_edit,failed_validation_test_command_count,failed_command_count,edit_test_edit_loop_proxy_count,failed_validation_followed_by_edit_count,command_failure_rate,validation_failure_rate
cattrs,python-attrs/cattrs,cattrs_pr_108,clean,SUCCESS,oracle_pass,1,1,0,20,20,0,success,168.95894074440002,32.21951937675476,201.1784601211548,2,4,0.75,479697,27985,472762,451712,6935,comparison_slices/cattrs_pr_108_codex_clean_retry2/runs/cattrs/cattrs_pr_108/codex_cli/clean/rep_1/result.json,comparison_slices/cattrs_pr_108_codex_clean_retry2/runs/cattrs/cattrs_pr_108/codex_cli/clean/rep_1/metrics.json,2026-04-23T18:22:45.549813+00:00,comparison_slices/cattrs_pr_108_codex_clean_retry2/runs/cattrs/cattrs_pr_108/codex_cli/clean/rep_1/logs/agent_stdout.log,True,48,0,30,True,13,5,0,1,0,2,4,2,2,0,1,0,0,0.05555555555555555,0.0
cattrs,python-attrs/cattrs,cattrs_pr_108,naming,SUCCESS,oracle_pass,1,1,0,20,20,0,success,246.26817083358765,125.92263412475586,372.1908049583435,1,5,0.6,452054,125398,444392,326656,7662,comparison_slices/cattrs_pr_108_codex_clean_vs_naming/runs/cattrs/cattrs_pr_108/codex_cli/naming/rep_1/result.json,comparison_slices/cattrs_pr_108_codex_clean_vs_naming/runs/cattrs/cattrs_pr_108/codex_cli/naming/rep_1/metrics.json,2026-04-23T19:36:25.712280+00:00,comparison_slices/cattrs_pr_108_codex_clean_vs_naming/runs/cattrs/cattrs_pr_108/codex_cli/naming/rep_1/logs/agent_stdout.log,True,70,0,26,True,10,14,4,5,0,3,8,1,7,4,4,2,2,0.16666666666666666,0.5
cattrs,python-attrs/cattrs,cattrs_pr_108,type_hints,SUCCESS,oracle_pass,1,1,0,20,20,0,success,167.33117723464966,29.002656936645508,196.3338341712952,1,5,0.6,270084,60932,262772,209152,7312,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/type_hints/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/type_hints/rep_1/metrics.json,2026-04-23T22:15:25.394996+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,64,0,39,True,15,9,5,4,0,1,8,3,5,2,2,0,1,0.08333333333333333,0.25
cattrs,python-attrs/cattrs,cattrs_pr_108,comments_docstrings,FAIL,oracle_fail,0,1,1,20,20,0,focal_miss,231.21236371994016,52.2560625076294,283.4684262275696,2,5,0.6,684082,104370,675564,579712,8518,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/comments_docstrings/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-23T22:20:08.897425+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,74,0,38,True,16,12,4,5,0,3,8,1,7,2,2,0,0,0.07142857142857142,0.25
cattrs,python-attrs/cattrs,cattrs_pr_108,remove_tests,SUCCESS,oracle_pass,1,1,0,20,20,0,success,236.7633409500122,71.60121083259583,308.36455178260803,1,4,0.25,690290,60658,681162,629632,9128,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/remove_tests/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/remove_tests/rep_1/metrics.json,2026-04-23T22:25:17.318924+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_108/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,72,0,30,True,12,16,4,5,0,2,7,0,7,4,6,0,0,0.21428571428571427,0.5714285714285714
cattrs,python-attrs/cattrs,cattrs_pr_117,clean,SUCCESS,oracle_pass,1,1,0,0,0,0,success,364.7075343132019,36.542643547058105,401.25017786026,4,11,0.3636,895611,89723,887286,805888,8325,comparison_slices/cattrs_pr_117_codex_clean_vs_naming/runs/cattrs/cattrs_pr_117/codex_cli/clean/rep_1/result.json,comparison_slices/cattrs_pr_117_codex_clean_vs_naming/runs/cattrs/cattrs_pr_117/codex_cli/clean/rep_1/metrics.json,2026-04-23T19:53:41.554258+00:00,comparison_slices/cattrs_pr_117_codex_clean_vs_naming/runs/cattrs/cattrs_pr_117/codex_cli/clean/rep_1/logs/agent_stdout.log,True,85,0,30,True,12,17,4,8,0,6,5,0,5,2,3,3,2,0.10344827586206896,0.4
cattrs,python-attrs/cattrs,cattrs_pr_117,naming,SUCCESS,oracle_pass,1,1,0,0,0,0,success,975.1059944629668,41.96301484107971,1017.0690093040466,4,7,0.5714,2833397,147573,2817994,2685824,15403,comparison_slices/cattrs_pr_117_codex_clean_vs_naming/runs/cattrs/cattrs_pr_117/codex_cli/naming/rep_1/result.json,comparison_slices/cattrs_pr_117_codex_clean_vs_naming/runs/cattrs/cattrs_pr_117/codex_cli/naming/rep_1/metrics.json,2026-04-23T20:10:59.850776+00:00,comparison_slices/cattrs_pr_117_codex_clean_vs_naming/runs/cattrs/cattrs_pr_117/codex_cli/naming/rep_1/logs/agent_stdout.log,True,129,0,28,True,11,38,4,10,0,7,20,1,19,8,8,16,7,0.16326530612244897,0.4
cattrs,python-attrs/cattrs,cattrs_pr_117,type_hints,SUCCESS,oracle_pass,1,1,0,0,0,0,success,446.1314828395844,8.709776639938354,454.8412594795227,4,7,0.5714,1228201,129321,1219450,1098880,8751,comparison_slices/rq1_initial_matrix_reruns/runs/cattrs/cattrs_pr_117/codex_cli/type_hints/rep_1/result.json,comparison_slices/rq1_initial_matrix_reruns/runs/cattrs/cattrs_pr_117/codex_cli/type_hints/rep_1/metrics.json,2026-04-23T22:46:49.969581+00:00,comparison_slices/rq1_initial_matrix_reruns/runs/cattrs/cattrs_pr_117/codex_cli/type_hints/rep_1/logs/agent_stdout.log,True,83,0,26,True,10,19,4,6,0,6,11,1,10,5,5,5,3,0.1724137931034483,0.45454545454545453
cattrs,python-attrs/cattrs,cattrs_pr_117,comments_docstrings,SUCCESS,oracle_pass,1,1,0,0,0,0,success,234.7273416519165,8.322851419448853,243.05019307136536,4,8,0.5,471293,61949,464816,409344,6477,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_117/codex_cli/comments_docstrings/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_117/codex_cli/comments_docstrings/rep_1/metrics.json,2026-04-23T22:31:08.113703+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_117/codex_cli/comments_docstrings/rep_1/logs/agent_stdout.log,True,73,0,25,True,10,14,3,7,0,6,10,0,10,2,3,7,2,0.125,0.2
cattrs,python-attrs/cattrs,cattrs_pr_117,remove_tests,SUCCESS,oracle_pass,1,1,0,0,0,0,success,275.667795419693,8.475075006484985,284.142870426178,4,5,0.8,740329,61801,731030,678528,9299,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_117/codex_cli/remove_tests/rep_1/result.json,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_117/codex_cli/remove_tests/rep_1/metrics.json,2026-04-23T22:35:52.272647+00:00,comparison_slices/rq1_initial_matrix_missing/runs/cattrs/cattrs_pr_117/codex_cli/remove_tests/rep_1/logs/agent_stdout.log,True,93,0,30,True,12,19,4,8,0,8,12,1,11,4,4,8,4,0.12903225806451613,0.3333333333333333
