candidate_id,candidate_path,pr_number,title,created_at,files_changed,source_files,test_files
cattrs_pr_108,candidates/cattrs_pr_108.json,108,fix structure for union of attr classes with default values,2020-11-18T23:22:02Z,4,src/cattr/disambiguators.py,tests/test_disambigutors.py; tests/test_structure.py
cattrs_pr_117,candidates/cattrs_pr_117.json,117,fix MultiStrategyDispatch to work with new GenConverter and attrs inheritance,2021-01-25T12:07:35Z,4,src/cattr/converters.py; src/cattr/multistrategy_dispatch.py,tests/test_genconverter_inheritance.py
cattrs_pr_142,candidates/cattrs_pr_142.json,142,Forbid extra fields when structuring dictionaries into attrs classes,2021-04-14T22:43:59Z,5,src/cattr/converters.py; src/cattr/gen.py,tests/metadata/test_genconverter.py
click_pr_2816,candidates/click_pr_2816.json,2816,show correct auto complete value for nargs option in combination with flag option,2025-08-07T05:57:15Z,3,src/click/shell_completion.py,tests/test_shell_completion.py
click_pr_2846,candidates/click_pr_2846.json,2846,Fix Zsh completions with colons,2025-07-21T19:35:04Z,3,src/click/shell_completion.py,tests/test_shell_completion.py
click_pr_3004,candidates/click_pr_3004.json,3004,Fix rendering of Enum choices' default,2025-07-22T07:30:29Z,3,src/click/core.py,tests/test_options.py
copier_pr_2432,candidates/copier_pr_2432.json,2432,Insure git hooks are ignored on checkout during conflicts,2026-01-22T14:12:40Z,2,copier/_main.py,tests/test_updatediff.py
copier_pr_2587,candidates/copier_pr_2587.json,2587,feat: add support for enabling StrictUndefined in Jinja environment,2026-04-21T12:25:16Z,3,copier/_main.py,tests/test_jinja2_undefined.py
copier_pr_2605,candidates/copier_pr_2605.json,2605,fix: propagate executable-bit changes on `copier update`,2026-04-25T08:25:02Z,3,copier/_main.py; copier/_template.py,tests/test_updatediff.py
httpx_pr_2423,candidates/httpx_pr_2423.json,2423,"Change LineDecoder to match stdlib splitlines, resulting in significant speed up",2023-03-16T14:29:15Z,3,httpx/_decoders.py,tests/models/test_responses.py; tests/test_decoders.py
httpx_pr_2535,candidates/httpx_pr_2535.json,2535,Add `NetRCAuth()` class.,2023-01-12T11:27:47Z,10,httpx/__init__.py; httpx/_auth.py; httpx/_client.py; httpx/_utils.py,tests/client/test_auth.py; tests/client/test_properties.py; tests/fixtures/.netrc-nopassword; tests/test_utils.py
httpx_pr_2547,candidates/httpx_pr_2547.json,2547,Use standard logging style,2023-03-20T11:30:11Z,8,httpx/_client.py; httpx/_config.py; httpx/_utils.py,tests/test_utils.py; tests/utils.py
marshmallow_pr_1632,candidates/marshmallow_pr_1632.json,1632,"Pass unknown parameter to pre_load, post_load, and validates_schema methods",2025-01-13T05:15:06Z,4,src/marshmallow/decorators.py; src/marshmallow/schema.py,tests/test_decorators.py
marshmallow_pr_2772,candidates/marshmallow_pr_2772.json,2772,Check for fields declared as instances at class declaration rather than at instantiation,2025-01-13T21:17:26Z,4,src/marshmallow/schema.py; src/marshmallow/utils.py,tests/test_schema.py
marshmallow_pr_2792,candidates/marshmallow_pr_2792.json,2792,Fix handling data_key in ValidationErrors raised in schema validators,2025-01-19T17:58:10Z,5,src/marshmallow/decorators.py; src/marshmallow/schema.py; src/marshmallow/types.py,tests/test_decorators.py
pip-tools_pr_1582,candidates/pip-tools_pr_1582.json,1582,Direct references show extra requirements in .txt files,2023-08-07T11:13:45Z,3,piptools/utils.py,tests/test_cli_compile.py; tests/test_utils.py
pip-tools_pr_1893,candidates/pip-tools_pr_1893.json,1893,Exclude default config value from the pip-compile header,2023-07-01T06:40:01Z,3,piptools/utils.py,tests/test_utils.py
pip-tools_pr_2087,candidates/pip-tools_pr_2087.json,2087,Preserve relative paths for editable dependencies in output,2024-05-10T23:36:57Z,3,piptools/_compat/pip_compat.py,tests/test_pip_compat.py
pydantic-settings_pr_730,candidates/pydantic-settings_pr_730.json,730,fix: handle case-insensitive retrieval in GoogleSecretManagerSettingsSource,2025-12-15T12:27:39Z,3,pydantic_settings/sources/providers/gcp.py,tests/test_source_gcp_secret_manager.py
pydantic-settings_pr_773,candidates/pydantic-settings_pr_773.json,773,Add nested path support for yaml_config_section (fixes #772),2026-02-06T12:28:34Z,3,pydantic_settings/main.py; pydantic_settings/sources/providers/yaml.py,tests/test_source_yaml.py
pydantic-settings_pr_780,candidates/pydantic-settings_pr_780.json,780,Fix JSON decoding for parameterized PEP 695 type aliases,2026-02-18T08:22:43Z,3,pydantic_settings/sources/base.py; pydantic_settings/sources/utils.py,tests/test_settings.py
starlette_pr_2194,candidates/starlette_pr_2194.json,2194,Stop `body_stream` in case `more_body=False`,2023-07-13T07:48:10Z,2,starlette/middleware/base.py,tests/middleware/test_base.py
starlette_pr_2400,candidates/starlette_pr_2400.json,2400,♻️ Refactor logic to handle `root_path` to keep compatibility with ASGI and compatibility with other non-Starlette-specific libraries like a2wsgi,2024-01-09T04:45:30Z,8,starlette/_utils.py; starlette/datastructures.py; starlette/middleware/wsgi.py; starlette/requests.py; starlette/routing.py; starlette/staticfiles.py,tests/middleware/test_wsgi.py; tests/test_routing.py
starlette_pr_2422,candidates/starlette_pr_2422.json,2422,Raise `FileNotFoundError` when the `env_file` parameter on `Config` is not valid,2024-01-20T12:06:50Z,2,starlette/config.py,tests/test_config.py
structlog_pr_483,candidates/structlog_pr_483.json,483,Correctly figure out exc_info in ConsoleRenderer.,2023-02-06T09:31:03Z,3,src/structlog/dev.py,tests/test_dev.py
structlog_pr_489,candidates/structlog_pr_489.json,489,Fix missing exception info in aexception(),2023-02-10T15:33:33Z,3,src/structlog/_log_levels.py,tests/test_log_levels.py
structlog_pr_713,candidates/structlog_pr_713.json,713,TimeStamper now returns UTC timezone for custom format string.,2025-04-25T15:38:03Z,3,src/structlog/processors.py,tests/processors/test_renderers.py
uvicorn_pr_2183,candidates/uvicorn_pr_2183.json,2183,New multiprocess manager,2024-05-28T06:59:03Z,5,uvicorn/supervisors/multiprocess.py,tests/supervisors/test_multiprocess.py
uvicorn_pr_2561,candidates/uvicorn_pr_2561.json,2561,"Add socket path to `scope[""server""]`",2026-02-15T18:34:15Z,7,uvicorn/protocols/http/h11_impl.py; uvicorn/protocols/http/httptools_impl.py; uvicorn/protocols/utils.py; uvicorn/protocols/websockets/websockets_impl.py; uvicorn/protocols/websockets/websockets_sansio_impl.py; uvicorn/protocols/websockets/wsproto_impl.py,tests/protocols/test_utils.py
uvicorn_pr_2829,candidates/uvicorn_pr_2829.json,2829,🐛 Emit `http.disconnect` ASGI `receive()` event on server shutting down for streaming responses,2026-04-03T14:23:03Z,3,uvicorn/protocols/http/h11_impl.py; uvicorn/protocols/http/httptools_impl.py,tests/protocols/test_http.py
