repo,repo_full,candidate_id,n,success,fail,hidden_bug_fix_test_failures_total,previously_passing_test_failures_total,mean_total_duration_seconds,mean_total_tokens_including_cache,success_rate,candidate_path,pr_number,title,created_at,files_changed,source_files,test_files
copier,copier-org/copier,copier_pr_2587,5,0,5,11,0,269.7419,1295266.0,0.0,candidates/copier_pr_2587.json,2587,feat: add support for enabling StrictUndefined in Jinja environment,2026-04-21T12:25:16Z,3,copier/_main.py,tests/test_jinja2_undefined.py
pip-tools,jazzband/pip-tools,pip-tools_pr_1893,5,0,5,195,0,280.2988,1216314.4,0.0,candidates/pip-tools_pr_1893.json,1893,Exclude default config value from the pip-compile header,2023-07-01T06:40:01Z,3,piptools/utils.py,tests/test_utils.py
pip-tools,jazzband/pip-tools,pip-tools_pr_2087,5,0,5,5,0,299.0544,1425217.0,0.0,candidates/pip-tools_pr_2087.json,2087,Preserve relative paths for editable dependencies in output,2024-05-10T23:36:57Z,3,piptools/_compat/pip_compat.py,tests/test_pip_compat.py
pydantic-settings,pydantic/pydantic-settings,pydantic-settings_pr_730,5,0,5,23,0,255.2194,641454.4,0.0,candidates/pydantic-settings_pr_730.json,730,fix: handle case-insensitive retrieval in GoogleSecretManagerSettingsSource,2025-12-15T12:27:39Z,3,pydantic_settings/sources/providers/gcp.py,tests/test_source_gcp_secret_manager.py
click,pallets/click,click_pr_3004,5,1,4,0,8,233.0165,1316470.6,0.2,candidates/click_pr_3004.json,3004,Fix rendering of Enum choices' default,2025-07-22T07:30:29Z,3,src/click/core.py,tests/test_options.py
pydantic-settings,pydantic/pydantic-settings,pydantic-settings_pr_773,5,1,4,9,0,339.1815,988740.8,0.2,candidates/pydantic-settings_pr_773.json,773,Add nested path support for yaml_config_section (fixes #772),2026-02-06T12:28:34Z,3,pydantic_settings/main.py; pydantic_settings/sources/providers/yaml.py,tests/test_source_yaml.py
cattrs,python-attrs/cattrs,cattrs_pr_142,5,2,3,1,2,433.8371,1826906.4,0.4,candidates/cattrs_pr_142.json,142,Forbid extra fields when structuring dictionaries into attrs classes,2021-04-14T22:43:59Z,5,src/cattr/converters.py; src/cattr/gen.py,tests/metadata/test_genconverter.py
httpx,encode/httpx,httpx_pr_2547,5,2,3,7,0,418.626,1500855.8,0.4,candidates/httpx_pr_2547.json,2547,Use standard logging style,2023-03-20T11:30:11Z,8,httpx/_client.py; httpx/_config.py; httpx/_utils.py,tests/test_utils.py; tests/utils.py
click,pallets/click,click_pr_2816,5,3,2,2,46,206.0832,904087.8,0.6,candidates/click_pr_2816.json,2816,show correct auto complete value for nargs option in combination with flag option,2025-08-07T05:57:15Z,3,src/click/shell_completion.py,tests/test_shell_completion.py
starlette,encode/starlette,starlette_pr_2422,5,3,2,1,2,129.8097,267408.8,0.6,candidates/starlette_pr_2422.json,2422,Raise `FileNotFoundError` when the `env_file` parameter on `Config` is not valid,2024-01-20T12:06:50Z,2,starlette/config.py,tests/test_config.py
cattrs,python-attrs/cattrs,cattrs_pr_108,5,4,1,1,0,272.3072,515241.4,0.8,candidates/cattrs_pr_108.json,108,fix structure for union of attr classes with default values,2020-11-18T23:22:02Z,4,src/cattr/disambiguators.py,tests/test_disambigutors.py; tests/test_structure.py
copier,copier-org/copier,copier_pr_2432,5,4,1,1,51,268.4343,932335.4,0.8,candidates/copier_pr_2432.json,2432,Insure git hooks are ignored on checkout during conflicts,2026-01-22T14:12:40Z,2,copier/_main.py,tests/test_updatediff.py
copier,copier-org/copier,copier_pr_2605,5,4,1,4,58,349.9259,1516697.2,0.8,candidates/copier_pr_2605.json,2605,fix: propagate executable-bit changes on `copier update`,2026-04-25T08:25:02Z,3,copier/_main.py; copier/_template.py,tests/test_updatediff.py
