backend,backend_label,repo,task_id,condition,replication_index,condition_label,clean_success,degraded_success,clean_hidden_bug_fix_failed,degraded_hidden_bug_fix_failed,hidden_bug_fix_failed_delta,clean_regression_failed,degraded_regression_failed,regression_failed_delta,clean_tokens_corrected,degraded_tokens_corrected,token_delta,token_definition,total_token_delta_including_cache,runtime_delta_seconds,changed_file_delta,files_opened_delta,exploration_efficiency_delta,validation_command_delta,failed_validation_command_delta,both_success,clean_success_degraded_failure,clean_failure_degraded_success,both_fail,baseline_hard,regression_damage,hidden_bug_fix_damage,token_delta_pct,token_higher
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_108,naming,1,Naming,True,True,0,0,0,0,0,0,27985.0,125398.0,97413.0,input_plus_output_tokens_excludes_cached_input,-27643.0,171.0123448371887,,1.0,-0.15000000000000002,4.0,4.0,True,False,False,False,False,False,False,3.4809004824012866,True
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_108,type_hints,1,Type hints,True,True,0,0,0,0,0,0,27985.0,60932.0,32947.0,input_plus_output_tokens_excludes_cached_input,-209613.0,-4.844625949859619,,1.0,-0.15000000000000002,4.0,2.0,True,False,False,False,False,False,False,1.1773092728247276,True
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_108,comments_docstrings,1,Comments/docstrings,True,False,0,1,1,0,0,0,27985.0,104370.0,76385.0,input_plus_output_tokens_excludes_cached_input,204385.0,82.28996610641477,,1.0,-0.15000000000000002,4.0,2.0,False,True,False,False,False,False,True,2.729497945327854,True
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_108,remove_tests,1,Remove tests,True,True,0,0,0,0,0,0,27985.0,60658.0,32673.0,input_plus_output_tokens_excludes_cached_input,210593.0,107.18609166145322,,0.0,-0.5,3.0,4.0,True,False,False,False,False,False,False,1.167518313382169,True
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_117,naming,1,Naming,True,True,0,0,0,0,0,0,89723.0,147573.0,57850.0,input_plus_output_tokens_excludes_cached_input,1937786.0,615.8188314437866,,-4.0,0.20780000000000004,15.0,6.0,True,False,False,False,False,False,False,0.6447622125876308,True
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_117,type_hints,1,Type hints,True,True,0,0,0,0,0,0,89723.0,129321.0,39598.0,input_plus_output_tokens_excludes_cached_input,332590.0,53.591081619262695,,-4.0,0.20780000000000004,6.0,3.0,True,False,False,False,False,False,False,0.441336112256612,True
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_117,comments_docstrings,1,Comments/docstrings,True,True,0,0,0,0,0,0,89723.0,61949.0,-27774.0,input_plus_output_tokens_excludes_cached_input,-424318.0,-158.19998478889465,,-3.0,0.13640000000000002,5.0,0.0,True,False,False,False,False,False,False,-0.3095527345273787,False
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_117,remove_tests,1,Remove tests,True,True,0,0,0,0,0,0,89723.0,61801.0,-27922.0,input_plus_output_tokens_excludes_cached_input,-155282.0,-117.10730743408203,,-6.0,0.43640000000000007,7.0,2.0,True,False,False,False,False,False,False,-0.31120225583183797,False
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_142,naming,1,Naming,False,True,0,0,0,1,0,-1,205363.0,172415.0,-32948.0,input_plus_output_tokens_excludes_cached_input,-564788.0,-173.57797122001648,,1.0,0.21430000000000005,-5.0,-2.0,False,False,True,False,True,False,False,-0.1604378588158529,False
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_142,type_hints,1,Type hints,False,False,0,0,0,1,1,0,205363.0,180058.0,-25305.0,input_plus_output_tokens_excludes_cached_input,319911.0,38.12498354911804,,-1.0,0.30000000000000004,-5.0,-2.0,False,False,False,True,True,False,False,-0.1232208333536226,False
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_142,comments_docstrings,1,Comments/docstrings,False,False,0,1,1,1,0,-1,205363.0,196922.0,-8441.0,input_plus_output_tokens_excludes_cached_input,-410617.0,19.506510019302368,,2.0,-0.125,-5.0,-3.0,False,False,False,True,True,False,True,-0.041102827675871506,False
custom_repo,Custom repos,python-attrs/cattrs,cattrs_pr_142,remove_tests,1,Remove tests,False,True,0,0,0,1,0,-1,205363.0,132990.0,-72373.0,input_plus_output_tokens_excludes_cached_input,-699189.0,-180.74697995185852,,-2.0,0.0,-8.0,-4.0,False,False,True,False,True,False,False,-0.3524149919897937,False
custom_repo,Custom repos,pallets/click,click_pr_2816,naming,1,Naming,False,False,1,1,0,0,46,46,86268.0,95138.0,8870.0,input_plus_output_tokens_excludes_cached_input,32038.0,4.939020156860352,,2.0,-0.5,-3.0,0.0,False,False,False,True,True,True,False,0.10281912180646358,True
custom_repo,Custom repos,pallets/click,click_pr_2816,type_hints,1,Type hints,False,True,1,0,-1,0,0,0,86268.0,72070.0,-14198.0,input_plus_output_tokens_excludes_cached_input,-416118.0,-61.67991518974304,,2.0,-0.5,-6.0,-2.0,False,False,True,False,True,False,False,-0.16458014559280382,False
custom_repo,Custom repos,pallets/click,click_pr_2816,comments_docstrings,1,Comments/docstrings,False,True,1,0,-1,0,0,0,86268.0,51673.0,-34595.0,input_plus_output_tokens_excludes_cached_input,-535203.0,-86.99543809890747,,1.0,0.0,-6.0,-2.0,False,False,True,False,True,False,False,-0.40101775861269534,False
custom_repo,Custom repos,pallets/click,click_pr_2816,remove_tests,1,Remove tests,False,True,1,0,-1,0,0,0,86268.0,66554.0,-19714.0,input_plus_output_tokens_excludes_cached_input,-259458.0,-33.42161750793457,,3.0,-0.6,-4.0,-1.0,False,False,True,False,True,False,False,-0.22852042472295636,False
custom_repo,Custom repos,pallets/click,click_pr_2846,naming,1,Naming,True,True,0,0,0,0,0,0,47202.0,81672.0,34470.0,input_plus_output_tokens_excludes_cached_input,427814.0,95.04530024528502,,0.0,0.0,4.0,4.0,True,False,False,False,False,False,False,0.7302656667090377,True
custom_repo,Custom repos,pallets/click,click_pr_2846,type_hints,1,Type hints,True,True,0,0,0,0,0,0,47202.0,58439.0,11237.0,input_plus_output_tokens_excludes_cached_input,-92059.0,-29.92364382743837,,-1.0,0.16669999999999996,-2.0,-1.0,True,False,False,False,False,False,False,0.2380619465276895,True
custom_repo,Custom repos,pallets/click,click_pr_2846,comments_docstrings,1,Comments/docstrings,True,True,0,0,0,0,0,0,47202.0,63822.0,16620.0,input_plus_output_tokens_excludes_cached_input,-33556.0,-24.72877001762393,,-2.0,0.5,-1.0,-1.0,True,False,False,False,False,False,False,0.35210372441845683,True
custom_repo,Custom repos,pallets/click,click_pr_2846,remove_tests,1,Remove tests,True,True,0,0,0,0,0,0,47202.0,50709.0,3507.0,input_plus_output_tokens_excludes_cached_input,99891.0,60.54351878166197,,1.0,-0.09999999999999998,0.0,0.0,True,False,False,False,False,False,False,0.07429769925003178,True
custom_repo,Custom repos,pallets/click,click_pr_3004,naming,1,Naming,False,False,0,0,0,2,2,0,50651.0,130259.0,79608.0,input_plus_output_tokens_excludes_cached_input,2804344.0,254.94840550422668,,0.0,-0.25,3.0,3.0,False,False,False,True,True,False,False,1.5716965114212949,True
custom_repo,Custom repos,pallets/click,click_pr_3004,type_hints,1,Type hints,False,False,0,0,0,2,2,0,50651.0,60986.0,10335.0,input_plus_output_tokens_excludes_cached_input,315487.0,30.32920241355893,,1.0,-0.15000000000000002,1.0,-1.0,False,False,False,True,True,False,False,0.2040433555112436,True
custom_repo,Custom repos,pallets/click,click_pr_3004,comments_docstrings,1,Comments/docstrings,False,True,0,0,0,2,0,-2,50651.0,70717.0,20066.0,input_plus_output_tokens_excludes_cached_input,-203678.0,-26.102590799331665,,0.0,-0.25,-1.0,0.0,False,False,True,False,True,False,False,0.39616197113581175,True
custom_repo,Custom repos,pallets/click,click_pr_3004,remove_tests,1,Remove tests,False,False,0,0,0,2,2,0,50651.0,67244.0,16593.0,input_plus_output_tokens_excludes_cached_input,45265.0,9.970163106918335,,-1.0,-0.08330000000000004,2.0,0.0,False,False,False,True,True,False,False,0.3275947167874277,True
