case_category,repo,instance_id,condition,replication_index,clean_success,degraded_success,clean_success_degraded_failure,baseline_hard,clean_fail_to_pass_failed_count,degraded_fail_to_pass_failed_count,fail_to_pass_failed_count_delta,clean_pass_to_pass_failed_count,degraded_pass_to_pass_failed_count,pass_to_pass_failed_count_delta,total_tokens_corrected_delta,changed_file_count_delta,files_opened_before_first_edit_delta,exploration_efficiency_delta,clean_changed_files,degraded_changed_files,annotation_nodes,comparison_file,comparison_path,interpretation
clean_success_to_degraded_failure,pydata/xarray,pydata__xarray-3677,naming,0,True,False,True,False,0,0,0,0,8,8,271338,14,2,-0.2666999999999999,xarray/core/merge.py|xarray/tests/test_merge.py,asv_bench/benchmarks/reindexing.py|xarray/backends/zarr.py|xarray/conventions.py|xarray/core/computation.py|xarray/core/concat.py|xarray/core/coordinates.py|xarray/core/dataarray.py|xarray/core/dataset.py|xarray/core/merge.py|xarray/core/parallel.py|xarray/tests/test_dataarray.py|xarray/tests/test_dataset.py|xarray/tests/test_interp.py|xarray/tests/test_merge.py|xarray/tests/test_options.py|xarray/tests/test_units.py,366.0,pydata_xarray-3677_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pydata_xarray-3677_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,pydata/xarray,pydata__xarray-4629,naming,0,True,False,True,False,0,0,0,0,1,1,194022,0,0,0.0,xarray/core/merge.py|xarray/tests/test_merge.py,xarray/core/merge.py|xarray/tests/test_merge.py,76.0,pydata_xarray-4629_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pydata_xarray-4629_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,pydata/xarray,pydata__xarray-4966,naming,0,True,False,True,False,0,4,4,0,17,17,471093,2,0,0.0,xarray/coding/variables.py|xarray/tests/test_coding.py,properties/test_encode_decode.py|xarray/coding/variables.py|xarray/conventions.py|xarray/tests/test_coding.py,11.0,pydata_xarray-4966_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/pydata_xarray-4966_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,sympy/sympy,sympy__sympy-11618,naming,0,True,False,True,False,0,0,0,0,2,2,-5543,3,0,0.0,sympy/geometry/point.py|sympy/geometry/tests/test_point.py,sympy/geometry/line3d.py|sympy/geometry/plane.py|sympy/geometry/point.py|sympy/geometry/tests/test_point.py|sympy/geometry/util.py,0.0,sympy_sympy-11618_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-11618_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,sympy/sympy,sympy__sympy-12419,naming,0,True,False,True,False,0,1,1,0,7,7,202821,4,1,-0.1666999999999999,sympy/concrete/summations.py|sympy/concrete/tests/test_sums_products.py|sympy/matrices/expressions/matexpr.py|sympy/matrices/expressions/tests/test_indexing.py,sympy/concrete/summations.py|sympy/concrete/tests/test_sums_products.py|sympy/matrices/expressions/matexpr.py|sympy/matrices/expressions/matmul.py|sympy/matrices/expressions/tests/test_funcmatrix.py|sympy/matrices/expressions/tests/test_indexing.py|sympy/matrices/expressions/tests/test_inverse.py|sympy/matrices/expressions/tests/test_matexpr.py,0.0,sympy_sympy-12419_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-12419_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,psf/requests,psf__requests-1142,naming,0,True,False,True,False,0,1,1,0,0,0,165431,0,2,-0.25,requests/models.py|test_requests.py,requests/models.py|test_requests.py,0.0,psf_requests-1142_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1142_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,psf/requests,psf__requests-1724,naming,0,True,False,True,False,0,0,0,0,1,1,170381,1,0,0.0,requests/models.py|test_requests.py,requests/models.py|requests/sessions.py|test_requests.py,0.0,psf_requests-1724_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1724_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,psf/requests,psf__requests-1921,naming,0,True,False,True,False,0,1,1,0,4,4,87581,0,0,0.0,requests/sessions.py|test_requests.py,requests/sessions.py|test_requests.py,0.0,psf_requests-1921_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1921_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,matplotlib/matplotlib,matplotlib__matplotlib-23412,naming,0,True,False,True,False,0,1,1,0,21,21,1302387,34,-2,0.0635,lib/matplotlib/patches.py|lib/matplotlib/tests/test_patches.py,examples/event_handling/trifinder_event_demo.py|examples/pie_and_polar_charts/bar_of_pie.py|examples/shapes_and_collections/fancybox_demo.py|examples/text_labels_and_annotations/fancyarrow_demo.py|examples/user_interfaces/svg_tooltip_sgskip.py|lib/matplotlib/artist.py|lib/matplotlib/axes/_base.py|lib/matplotlib/collections.py|lib/matplotlib/contour.py|lib/matplotlib/figure.py|lib/matplotlib/image.py|lib/matplotlib/legend.py|lib/matplotlib/lines.py|lib/matplotlib/mpl-data/images/back-symbolic.svg|lib/matplotlib/mpl-data/images/filesave-symbolic.svg|lib/matplotlib/mpl-data/images/forward-symbolic.svg|lib/matplotlib/mpl-data/images/help-symbolic.svg|lib/matplotlib/mpl-data/images/home-symbolic.svg|lib/matplotlib/mpl-data/images/move-symbolic.svg|lib/matplotlib/mpl-data/images/subplots-symbolic.svg|lib/matplotlib/mpl-data/images/zoom_to_rect-symbolic.svg|lib/matplotlib/offsetbox.py|lib/matplotlib/patches.py|lib/matplotlib/projections/polar.py|lib/matplotlib/quiver.py|lib/matplotlib/spines.py|lib/matplotlib/table.py|lib/matplotlib/tests/test_arrow_patches.py|lib/matplotlib/tests/test_artist.py|lib/matplotlib/tests/test_patches.py|lib/matplotlib/tests/test_transforms.py|lib/matplotlib/text.py|lib/matplotlib/widgets.py|lib/mpl_toolkits/axisartist/axis_artist.py|lib/mpl_toolkits/axisartist/axisline_style.py|lib/mpl_toolkits/tests/test_axisartist_floating_axes.py,0.0,matplotlib_matplotlib-23412_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/matplotlib_matplotlib-23412_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
clean_success_to_degraded_failure,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,naming,0,True,False,True,False,0,0,0,0,1,1,244183,0,1,-0.3333,sklearn/ensemble/_iforest.py|sklearn/ensemble/tests/test_iforest.py,sklearn/ensemble/_iforest.py|sklearn/ensemble/tests/test_iforest.py,1.0,scikit-learn_scikit-learn-25931_naming_rep_0_oracle_comparison.json,archive/provenance/dev/active/bootstrap-2026-04-22/scikit-learn_scikit-learn-25931_naming_rep_0_oracle_comparison.json,Official clean pass and degraded failure; count as degradation-associated outcome transition in the paired design.
