comparison_file,instance_id,repo,condition,replication_index,clean_success,degraded_success,clean_fail_to_pass_failed_count,degraded_fail_to_pass_failed_count,clean_pass_to_pass_failed_count,degraded_pass_to_pass_failed_count,target_success_changed,fail_to_pass_failed_count_delta,pass_to_pass_failed_count_delta,clean_files_opened_before_first_edit,degraded_files_opened_before_first_edit,files_opened_before_first_edit_delta,clean_exploration_efficiency,degraded_exploration_efficiency,exploration_efficiency_delta,clean_total_tokens_corrected,degraded_total_tokens_corrected,total_tokens_corrected_delta,clean_input_tokens,degraded_input_tokens,clean_cached_input_tokens,degraded_cached_input_tokens,clean_output_tokens,degraded_output_tokens,clean_changed_file_count,degraded_changed_file_count,changed_file_count_delta,changed_file_overlap_count,clean_only_changed_file_count,degraded_only_changed_file_count,clean_changed_files,degraded_changed_files,clean_opened_files_before_first_edit,degraded_opened_files_before_first_edit,clean_dead_end_file_opens,degraded_dead_end_file_opens,dead_end_file_opens_delta
flask_remove_tests_rep_1_oracle_comparison.json,pallets__flask-5014,pallets/flask,remove_tests,1,True,True,0,0,0,0,False,0,0,2,4,2,1.0,0.25,-0.75,181693,313704,132011,179157,309379,162688,285952,2536,4325,2,3,1,2,0,1,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_basic.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|src/flask/app.py|tests/test_basic.py|.pilot-venv-py311/bin/python,0,3,3
flask_remove_tests_rep_2_oracle_comparison.json,pallets__flask-5014,pallets/flask,remove_tests,2,True,True,0,0,0,0,False,0,0,2,3,1,1.0,0.6667,-0.3333,297655,315870,18215,294594,311270,238976,248960,3061,4600,2,3,1,2,0,1,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_basic.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|src/flask/scaffold.py|tests/test_basic.py,0,1,1
flask_rep_0_oracle_comparison.json,pallets__flask-5014,pallets/flask,comments_docstrings,0,True,True,0,0,0,0,False,0,0,4,2,-2,0.5,1.0,0.5,315327,295262,-20065,310793,291713,280704,256128,4534,3549,2,2,0,2,0,0,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|src/flask/scaffold.py|tests/test_blueprints.py|src/flask/app.py,src/flask/blueprints.py|tests/test_blueprints.py,2,0,-2
pytest-dev_pytest-10081_comments_docstrings_rep_2_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,comments_docstrings,2,True,True,0,0,0,0,False,0,0,4,4,0,0.5,0.5,0.0,358121,409061,50940,354636,405736,298752,367104,3485,3325,2,2,0,2,0,0,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,testing/test_unittest.py|src/_pytest/unittest.py|src/_pytest/debugging.py|src/_pytest/runner.py,src/_pytest/unittest.py|testing/test_unittest.py|testing/test_debugging.py|.pilot-venv-py39/bin/python,2,2,0
pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,naming,0,True,True,0,0,0,0,False,0,0,2,3,1,1.0,0.6667,-0.3333,347905,1251047,903142,344341,1243017,291712,1128576,3564,8030,2,2,0,2,0,0,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,testing/test_debugging.py|testing/test_unittest.py|src/_pytest/unittest.py,0,1,1
pytest-dev_pytest-10081_remove_tests_rep_3_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,remove_tests,3,True,True,0,0,0,0,False,0,0,2,5,3,1.0,0.2,-0.8,377920,561082,183162,374611,554976,265472,493568,3309,6106,2,3,1,2,0,1,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_debugging.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_debugging.py|testing/example_scripts/unittest/test_setup_skip.py|testing/example_scripts/unittest/test_setup_skip_class.py|testing/example_scripts/unittest/test_setup_skip_module.py,0,4,4
pytest-dev_pytest-10081_type_hints_rep_1_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,type_hints,1,True,True,0,0,0,0,False,0,0,2,2,0,1.0,1.0,0.0,250333,544281,293948,247701,540363,200576,437632,2632,3918,2,2,0,2,0,0,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,testing/test_unittest.py|src/_pytest/unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,0,0,0
pytest-dev_pytest-10356_comments_docstrings_rep_2_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,comments_docstrings,2,False,False,1,1,0,0,False,0,0,6,5,-1,0.3333,0.4,0.0667,1006599,1012754,6155,998139,1003453,942080,914688,8460,9301,2,2,0,2,0,0,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/python.py|src/_pytest/mark/structures.py|testing/test_mark.py|src/_pytest/config/__init__.py|src/_pytest/nodes.py|.pilot-venv-py39/bin/python,src/_pytest/python.py|src/_pytest/mark/structures.py|testing/test_mark.py|testing/test_collection.py|src/_pytest/nodes.py,4,3,-1
pytest-dev_pytest-10356_naming_rep_0_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,naming,0,False,False,1,1,0,0,False,0,0,4,4,0,0.5,0.5,0.0,1187515,402273,-785242,1177767,395621,1101696,350336,9748,6652,2,3,1,2,0,1,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py|.pilot-venv-py39/bin/python,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py|src/_pytest/nodes.py,2,2,0
pytest-dev_pytest-10356_remove_tests_rep_3_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,remove_tests,3,False,False,1,1,0,0,False,0,0,4,4,0,0.5,0.25,-0.25,675482,705289,29807,668884,697622,587264,626176,6598,7667,2,3,1,2,0,1,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|testing/test_collection.py|testing/test_mark.py,src/_pytest/mark/structures.py|testing/test_mark.py|src/_pytest/python.py|src/_pytest/nodes.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_collection.py|src/_pytest/pytester.py,2,3,1
pytest-dev_pytest-10356_type_hints_rep_1_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,type_hints,1,False,False,1,1,0,0,False,0,0,4,3,-1,0.5,0.6667,0.1666999999999999,638856,559123,-79733,632665,552929,574592,488448,6191,6194,2,2,0,2,0,0,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py|src/_pytest/nodes.py,src/_pytest/mark/structures.py|testing/test_mark.py|src/_pytest/python.py,2,1,-1
rep_1_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,comments_docstrings,1,True,True,0,0,0,0,False,0,0,3,3,0,1.0,0.6667,-0.3333,601957,681797,79840,594999,674873,559488,635136,6958,6924,2,2,0,1,1,1,src/_pytest/skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_skipping.py|src/_pytest/runner.py,0,1,1
rep_2_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,comments_docstrings,2,True,True,0,0,0,0,False,0,0,3,3,0,1.0,0.6667,-0.3333,395871,427527,31656,389122,422472,360576,397568,6749,5055,2,2,0,1,1,1,src/_pytest/skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_skipping.py|src/_pytest/runner.py,0,1,1
rep_3_remove_tests_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,remove_tests,3,True,True,0,0,0,0,False,0,0,3,2,-1,0.6667,1.0,0.3333,458343,229546,-228797,452090,225511,402304,205184,6253,4035,2,3,1,2,0,1,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_terminal.py,1,0,-1
rep_4_remove_tests_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,remove_tests,4,True,True,0,0,0,0,False,0,0,3,3,0,0.6667,0.6667,0.0,283057,299119,16062,279337,294214,254080,273024,3720,4905,2,3,1,2,0,1,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_terminal.py|testing/test_reports.py,1,1,0
rep_5_type_hints_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,type_hints,5,True,True,0,0,0,0,False,0,0,3,2,-1,0.6667,1.0,0.3333,353523,312176,-41347,348762,306910,317312,270976,4761,5266,2,2,0,2,0,0,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py,src/_pytest/skipping.py|testing/test_skipping.py,1,0,-1
rep_6_naming_oracle_comparison.json,pytest-dev__pytest-7432,pytest-dev/pytest,naming,6,True,True,0,0,0,0,False,0,0,4,2,-2,0.5,1.0,0.5,417880,456796,38916,412472,451420,339072,397440,5408,5376,2,2,0,2,0,0,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py,src/_pytest/skipping.py|testing/test_skipping.py|testing/test_terminal.py|.pilot-venv-py39/bin/python,src/_pytest/skipping.py|testing/test_skipping.py,2,0,-2
sklearn_remove_tests_rep_2_oracle_comparison.json,scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,remove_tests,2,True,True,0,0,0,0,False,0,0,4,4,0,0.5,0.5,0.0,989746,1928147,938401,980915,1920093,871680,1801472,8831,8054,2,3,1,2,0,1,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_common.py|sklearn/metrics/tests/test_ranking.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py|.pilot-venv-py39/bin/python|sklearn/__check_build/__init__.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_common.py|sklearn/metrics/tests/test_classification.py|sklearn/metrics/_plot/tests/test_roc_curve_display.py,2,2,0
sklearn_rep_0_oracle_comparison.json,scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,comments_docstrings,0,True,True,0,0,0,0,False,0,0,3,2,-1,0.6667,1.0,0.3333,518843,400537,-118306,513325,395195,476928,357376,5518,5342,2,3,1,2,0,1,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,doc/modules/model_evaluation.rst|sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py|sklearn/metrics/_plot/roc_curve.py,sklearn/metrics/tests/test_ranking.py|sklearn/metrics/_ranking.py,1,0,-1
sklearn_rep_1_oracle_comparison.json,scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,comments_docstrings,1,True,True,0,0,0,0,False,0,0,2,2,0,1.0,1.0,0.0,460576,525605,65029,455492,520110,424320,474368,5084,5495,2,2,0,2,0,0,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,sklearn/metrics/_ranking.py|sklearn/metrics/tests/test_ranking.py,0,0,0
