comparison_file,instance_id,repo,condition,replication_index,clean_success,degraded_success,clean_fail_to_pass_failed_count,degraded_fail_to_pass_failed_count,clean_pass_to_pass_failed_count,degraded_pass_to_pass_failed_count,target_success_changed,fail_to_pass_failed_count_delta,pass_to_pass_failed_count_delta,clean_files_opened_before_first_edit,degraded_files_opened_before_first_edit,files_opened_before_first_edit_delta,clean_exploration_efficiency,degraded_exploration_efficiency,exploration_efficiency_delta,clean_total_tokens_corrected,degraded_total_tokens_corrected,total_tokens_corrected_delta,clean_input_tokens,degraded_input_tokens,clean_cached_input_tokens,degraded_cached_input_tokens,clean_output_tokens,degraded_output_tokens,clean_changed_file_count,degraded_changed_file_count,changed_file_count_delta,changed_file_overlap_count,clean_only_changed_file_count,degraded_only_changed_file_count,clean_changed_files,degraded_changed_files,clean_opened_files_before_first_edit,degraded_opened_files_before_first_edit,clean_dead_end_file_opens,degraded_dead_end_file_opens,dead_end_file_opens_delta,base_commit,changed_source_files_profile,changed_test_files_profile,overall_status,eligible_conditions,test_signal_level,type_hints_signal_level,type_hints_rationale,annotation_nodes,naming_signal_level,naming_rationale,naming_candidates,comments_signal_level,comments_docstrings_rationale,docstring_count,comment_count,remove_tests_signal_level,decision_summary,profile_missing,clean_success_degraded_failure,clean_failure_degraded_success,baseline_hard,degraded_failed_when_clean_failed,pass_to_pass_damage,fail_to_pass_damage,any_official_damage,token_delta_sign,clean_changed_file_list,degraded_changed_file_list,clean_opened_file_list,degraded_opened_file_list,comparison_path,type_hints_low_signal,type_hints_zero_annotation_surface
flask_remove_tests_rep_1_oracle_comparison.json,pallets__flask-5014,pallets/flask,remove_tests,1,True,True,0,0,0,0,False,0,0,2,4,2,1.0,0.25,-0.75,181693,313704,132011,179157,309379,162688,285952,2536,4325,2,3,1,2,0,1,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_basic.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|src/flask/app.py|tests/test_basic.py|.pilot-venv-py311/bin/python,0,3,3,7ee9ceb71e868944a46e1ff00b506772a53a4f1d,src/flask/blueprints.py,tests/test_blueprints.py,GO,comments_docstrings|remove_tests,high,low,"The touched historical Flask surface is largely untyped, so a type-hint degradation would remove little useful information.",,medium,"Naming matters because the issue is explicitly about the `name` argument, but aggressive renaming could become unfair by obscuring the core problem statement itself.",,medium,"The changed file is documentation-rich overall, so removing comments and docstrings still strips meaningful local guidance even though the exact fix is a short guard in Blueprint initialization.",,,high,"Choose pallets__flask-5014 as the fastest credible third oracle-backed repo because it has a lightweight Python 3.11 environment, a bounded single-file pytest oracle, and a compact Blueprint source/test surface that supports both comments_docstrings and remove_tests.",,False,False,False,False,False,False,False,higher,"['src/flask/blueprints.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'tests/test_basic.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'src/flask/app.py', 'tests/test_basic.py', '.pilot-venv-py311/bin/python']",archive/provenance/dev/active/bootstrap-2026-04-22/flask_remove_tests_rep_1_oracle_comparison.json,False,False
flask_remove_tests_rep_2_oracle_comparison.json,pallets__flask-5014,pallets/flask,remove_tests,2,True,True,0,0,0,0,False,0,0,2,3,1,1.0,0.6667,-0.3333,297655,315870,18215,294594,311270,238976,248960,3061,4600,2,3,1,2,0,1,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_basic.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|src/flask/scaffold.py|tests/test_basic.py,0,1,1,7ee9ceb71e868944a46e1ff00b506772a53a4f1d,src/flask/blueprints.py,tests/test_blueprints.py,GO,comments_docstrings|remove_tests,high,low,"The touched historical Flask surface is largely untyped, so a type-hint degradation would remove little useful information.",,medium,"Naming matters because the issue is explicitly about the `name` argument, but aggressive renaming could become unfair by obscuring the core problem statement itself.",,medium,"The changed file is documentation-rich overall, so removing comments and docstrings still strips meaningful local guidance even though the exact fix is a short guard in Blueprint initialization.",,,high,"Choose pallets__flask-5014 as the fastest credible third oracle-backed repo because it has a lightweight Python 3.11 environment, a bounded single-file pytest oracle, and a compact Blueprint source/test surface that supports both comments_docstrings and remove_tests.",,False,False,False,False,False,False,False,higher,"['src/flask/blueprints.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'tests/test_basic.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'src/flask/scaffold.py', 'tests/test_basic.py']",archive/provenance/dev/active/bootstrap-2026-04-22/flask_remove_tests_rep_2_oracle_comparison.json,False,False
flask_rep_0_oracle_comparison.json,pallets__flask-5014,pallets/flask,comments_docstrings,0,True,True,0,0,0,0,False,0,0,4,2,-2,0.5,1.0,0.5,315327,295262,-20065,310793,291713,280704,256128,4534,3549,2,2,0,2,0,0,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|tests/test_blueprints.py,src/flask/blueprints.py|src/flask/scaffold.py|tests/test_blueprints.py|src/flask/app.py,src/flask/blueprints.py|tests/test_blueprints.py,2,0,-2,7ee9ceb71e868944a46e1ff00b506772a53a4f1d,src/flask/blueprints.py,tests/test_blueprints.py,GO,comments_docstrings|remove_tests,high,low,"The touched historical Flask surface is largely untyped, so a type-hint degradation would remove little useful information.",,medium,"Naming matters because the issue is explicitly about the `name` argument, but aggressive renaming could become unfair by obscuring the core problem statement itself.",,medium,"The changed file is documentation-rich overall, so removing comments and docstrings still strips meaningful local guidance even though the exact fix is a short guard in Blueprint initialization.",,,high,"Choose pallets__flask-5014 as the fastest credible third oracle-backed repo because it has a lightweight Python 3.11 environment, a bounded single-file pytest oracle, and a compact Blueprint source/test surface that supports both comments_docstrings and remove_tests.",,False,False,False,False,False,False,False,lower,"['src/flask/blueprints.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'tests/test_blueprints.py']","['src/flask/blueprints.py', 'src/flask/scaffold.py', 'tests/test_blueprints.py', 'src/flask/app.py']","['src/flask/blueprints.py', 'tests/test_blueprints.py']",archive/provenance/dev/active/bootstrap-2026-04-22/flask_rep_0_oracle_comparison.json,False,False
pytest-dev_pytest-10081_comments_docstrings_rep_2_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,comments_docstrings,2,True,True,0,0,0,0,False,0,0,4,4,0,0.5,0.5,0.0,358121,409061,50940,354636,405736,298752,367104,3485,3325,2,2,0,2,0,0,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,testing/test_unittest.py|src/_pytest/unittest.py|src/_pytest/debugging.py|src/_pytest/runner.py,src/_pytest/unittest.py|testing/test_unittest.py|testing/test_debugging.py|.pilot-venv-py39/bin/python,2,2,0,da9a2b584eb7a6c7e924b2621ed0ddaeca0a7bea,src/_pytest/unittest.py,testing/test_unittest.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 191 annotation nodes across source/test files.,191.0,high,Target surface has 184 local rename candidates before safety filtering.,184.0,high,Target surface has 14 docstrings and 52 comments.,14.0,52.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,,False,False,False,False,False,False,False,higher,"['src/_pytest/unittest.py', 'testing/test_unittest.py']","['src/_pytest/unittest.py', 'testing/test_unittest.py']","['testing/test_unittest.py', 'src/_pytest/unittest.py', 'src/_pytest/debugging.py', 'src/_pytest/runner.py']","['src/_pytest/unittest.py', 'testing/test_unittest.py', 'testing/test_debugging.py', '.pilot-venv-py39/bin/python']",archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10081_comments_docstrings_rep_2_oracle_comparison.json,False,False
pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,naming,0,True,True,0,0,0,0,False,0,0,2,3,1,1.0,0.6667,-0.3333,347905,1251047,903142,344341,1243017,291712,1128576,3564,8030,2,2,0,2,0,0,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,testing/test_debugging.py|testing/test_unittest.py|src/_pytest/unittest.py,0,1,1,da9a2b584eb7a6c7e924b2621ed0ddaeca0a7bea,src/_pytest/unittest.py,testing/test_unittest.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 191 annotation nodes across source/test files.,191.0,high,Target surface has 184 local rename candidates before safety filtering.,184.0,high,Target surface has 14 docstrings and 52 comments.,14.0,52.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,,False,False,False,False,False,False,False,higher,"['src/_pytest/unittest.py', 'testing/test_unittest.py']","['src/_pytest/unittest.py', 'testing/test_unittest.py']","['src/_pytest/unittest.py', 'testing/test_unittest.py']","['testing/test_debugging.py', 'testing/test_unittest.py', 'src/_pytest/unittest.py']",archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,False,False
pytest-dev_pytest-10081_remove_tests_rep_3_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,remove_tests,3,True,True,0,0,0,0,False,0,0,2,5,3,1.0,0.2,-0.8,377920,561082,183162,374611,554976,265472,493568,3309,6106,2,3,1,2,0,1,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_debugging.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_debugging.py|testing/example_scripts/unittest/test_setup_skip.py|testing/example_scripts/unittest/test_setup_skip_class.py|testing/example_scripts/unittest/test_setup_skip_module.py,0,4,4,da9a2b584eb7a6c7e924b2621ed0ddaeca0a7bea,src/_pytest/unittest.py,testing/test_unittest.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 191 annotation nodes across source/test files.,191.0,high,Target surface has 184 local rename candidates before safety filtering.,184.0,high,Target surface has 14 docstrings and 52 comments.,14.0,52.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,,False,False,False,False,False,False,False,higher,"['src/_pytest/unittest.py', 'testing/test_unittest.py']","['src/_pytest/unittest.py', 'testing/test_debugging.py', 'testing/test_unittest.py']","['src/_pytest/unittest.py', 'testing/test_unittest.py']","['src/_pytest/unittest.py', 'testing/test_debugging.py', 'testing/example_scripts/unittest/test_setup_skip.py', 'testing/example_scripts/unittest/test_setup_skip_class.py', 'testing/example_scripts/unittest/test_setup_skip_module.py']",archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10081_remove_tests_rep_3_oracle_comparison.json,False,False
pytest-dev_pytest-10081_type_hints_rep_1_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,type_hints,1,True,True,0,0,0,0,False,0,0,2,2,0,1.0,1.0,0.0,250333,544281,293948,247701,540363,200576,437632,2632,3918,2,2,0,2,0,0,src/_pytest/unittest.py|testing/test_unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,testing/test_unittest.py|src/_pytest/unittest.py,src/_pytest/unittest.py|testing/test_unittest.py,0,0,0,da9a2b584eb7a6c7e924b2621ed0ddaeca0a7bea,src/_pytest/unittest.py,testing/test_unittest.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 191 annotation nodes across source/test files.,191.0,high,Target surface has 184 local rename candidates before safety filtering.,184.0,high,Target surface has 14 docstrings and 52 comments.,14.0,52.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,,False,False,False,False,False,False,False,higher,"['src/_pytest/unittest.py', 'testing/test_unittest.py']","['src/_pytest/unittest.py', 'testing/test_unittest.py']","['testing/test_unittest.py', 'src/_pytest/unittest.py']","['src/_pytest/unittest.py', 'testing/test_unittest.py']",archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10081_type_hints_rep_1_oracle_comparison.json,False,False
pytest-dev_pytest-10356_comments_docstrings_rep_2_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,comments_docstrings,2,False,False,1,1,0,0,False,0,0,6,5,-1,0.3333,0.4,0.0667,1006599,1012754,6155,998139,1003453,942080,914688,8460,9301,2,2,0,2,0,0,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/python.py|src/_pytest/mark/structures.py|testing/test_mark.py|src/_pytest/config/__init__.py|src/_pytest/nodes.py|.pilot-venv-py39/bin/python,src/_pytest/python.py|src/_pytest/mark/structures.py|testing/test_mark.py|testing/test_collection.py|src/_pytest/nodes.py,4,3,-1,3c1534944cbd34e8a41bc9e76818018fadefc9a1,src/_pytest/mark/structures.py,testing/test_mark.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 230 annotation nodes across source/test files.,230.0,high,Target surface has 202 local rename candidates before safety filtering.,202.0,high,Target surface has 28 docstrings and 73 comments.,28.0,73.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,,False,False,True,True,False,False,False,higher,"['src/_pytest/mark/structures.py', 'testing/test_mark.py']","['src/_pytest/mark/structures.py', 'testing/test_mark.py']","['src/_pytest/python.py', 'src/_pytest/mark/structures.py', 'testing/test_mark.py', 'src/_pytest/config/__init__.py', 'src/_pytest/nodes.py', '.pilot-venv-py39/bin/python']","['src/_pytest/python.py', 'src/_pytest/mark/structures.py', 'testing/test_mark.py', 'testing/test_collection.py', 'src/_pytest/nodes.py']",archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10356_comments_docstrings_rep_2_oracle_comparison.json,False,False
pytest-dev_pytest-10356_naming_rep_0_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,naming,0,False,False,1,1,0,0,False,0,0,4,4,0,0.5,0.5,0.0,1187515,402273,-785242,1177767,395621,1101696,350336,9748,6652,2,3,1,2,0,1,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py|.pilot-venv-py39/bin/python,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_mark.py|src/_pytest/nodes.py,2,2,0,3c1534944cbd34e8a41bc9e76818018fadefc9a1,src/_pytest/mark/structures.py,testing/test_mark.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 230 annotation nodes across source/test files.,230.0,high,Target surface has 202 local rename candidates before safety filtering.,202.0,high,Target surface has 28 docstrings and 73 comments.,28.0,73.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,,False,False,True,True,False,False,False,lower,"['src/_pytest/mark/structures.py', 'testing/test_mark.py']","['src/_pytest/mark/structures.py', 'src/_pytest/python.py', 'testing/test_mark.py']","['src/_pytest/mark/structures.py', 'src/_pytest/python.py', 'testing/test_mark.py', '.pilot-venv-py39/bin/python']","['src/_pytest/mark/structures.py', 'src/_pytest/python.py', 'testing/test_mark.py', 'src/_pytest/nodes.py']",archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10356_naming_rep_0_oracle_comparison.json,False,False
pytest-dev_pytest-10356_remove_tests_rep_3_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,remove_tests,3,False,False,1,1,0,0,False,0,0,4,4,0,0.5,0.25,-0.25,675482,705289,29807,668884,697622,587264,626176,6598,7667,2,3,1,2,0,1,src/_pytest/mark/structures.py|testing/test_mark.py,src/_pytest/mark/structures.py|testing/test_collection.py|testing/test_mark.py,src/_pytest/mark/structures.py|testing/test_mark.py|src/_pytest/python.py|src/_pytest/nodes.py,src/_pytest/mark/structures.py|src/_pytest/python.py|testing/test_collection.py|src/_pytest/pytester.py,2,3,1,3c1534944cbd34e8a41bc9e76818018fadefc9a1,src/_pytest/mark/structures.py,testing/test_mark.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,high,Target surface has 230 annotation nodes across source/test files.,230.0,high,Target surface has 202 local rename candidates before safety filtering.,202.0,high,Target surface has 28 docstrings and 73 comments.,28.0,73.0,high,Selected as one of the two additional pytest tasks for the proper RQ1 matrix after signal screening and successful host-local gold preflight.,,False,False,True,True,False,False,False,higher,"['src/_pytest/mark/structures.py', 'testing/test_mark.py']","['src/_pytest/mark/structures.py', 'testing/test_collection.py', 'testing/test_mark.py']","['src/_pytest/mark/structures.py', 'testing/test_mark.py', 'src/_pytest/python.py', 'src/_pytest/nodes.py']","['src/_pytest/mark/structures.py', 'src/_pytest/python.py', 'testing/test_collection.py', 'src/_pytest/pytester.py']",archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10356_remove_tests_rep_3_oracle_comparison.json,False,False
