comparison_file,instance_id,repo,condition,replication_index,event_count_clean,first_edit_event_index_clean,bootstrap_event_count_clean,bootstrap_command_count_clean,bootstrap_failed_command_count_clean,bootstrap_test_command_count_clean,bootstrap_failed_test_command_count_clean,execution_event_count_clean,execution_command_count_clean,execution_failed_command_count_clean,execution_test_command_count_clean,execution_failed_test_command_count_clean,total_command_count_clean,total_test_command_count_clean,total_failed_test_command_count_clean,event_count_degraded,first_edit_event_index_degraded,bootstrap_event_count_degraded,bootstrap_command_count_degraded,bootstrap_failed_command_count_degraded,bootstrap_test_command_count_degraded,bootstrap_failed_test_command_count_degraded,execution_event_count_degraded,execution_command_count_degraded,execution_failed_command_count_degraded,execution_test_command_count_degraded,execution_failed_test_command_count_degraded,total_command_count_degraded,total_test_command_count_degraded,total_failed_test_command_count_degraded,event_count_delta,first_edit_event_index_delta,bootstrap_event_count_delta,bootstrap_command_count_delta,bootstrap_failed_command_count_delta,bootstrap_test_command_count_delta,bootstrap_failed_test_command_count_delta,execution_event_count_delta,execution_command_count_delta,execution_failed_command_count_delta,execution_test_command_count_delta,execution_failed_test_command_count_delta,total_command_count_delta,total_test_command_count_delta,total_failed_test_command_count_delta,clean_success_degraded_failure,pass_to_pass_damage,baseline_hard,total_tokens_corrected_delta,changed_file_count_delta
flask_remove_tests_rep_1_oracle_comparison.json,pallets__flask-5014,pallets/flask,remove_tests,1,37,24,24,8,1,0,0,13,3,0,1,0,11,1,0,54,34,34,12,1,1,0,20,6,1,3,1,18,4,1,17,10,10,4,0,1,0,7,3,1,2,1,7,3,1,False,False,False,132011,1
flask_remove_tests_rep_2_oracle_comparison.json,pallets__flask-5014,pallets/flask,remove_tests,2,41,19,19,6,0,0,0,22,6,1,2,1,12,2,1,56,29,29,12,0,0,0,27,9,1,3,1,21,3,1,15,10,10,6,0,0,0,5,3,0,1,0,9,1,0,False,False,False,18215,1
flask_rep_0_oracle_comparison.json,pallets__flask-5014,pallets/flask,comments_docstrings,0,58,29,29,11,0,0,0,29,9,1,2,1,20,2,1,50,23,23,8,0,0,0,27,9,1,3,1,17,3,1,-8,-6,-6,-3,0,0,0,-2,0,0,1,0,-3,1,0,False,False,False,-20065,0
pytest-dev_pytest-10081_comments_docstrings_rep_2_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,comments_docstrings,2,44,26,26,10,0,2,0,18,5,0,2,0,15,4,0,49,29,29,11,0,1,0,20,6,0,2,0,17,3,0,5,3,3,1,0,-1,0,2,1,0,0,0,2,-1,0,False,False,False,50940,0
pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,naming,0,40,22,22,8,1,2,0,18,6,0,2,0,14,4,0,71,18,18,6,0,0,0,53,16,3,9,3,22,9,3,31,-4,-4,-2,-1,-2,0,35,10,3,7,3,8,5,3,False,False,False,903142,0
pytest-dev_pytest-10081_remove_tests_rep_3_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,remove_tests,3,47,23,23,9,0,0,0,24,7,0,3,0,16,3,0,75,19,19,7,0,0,0,56,20,1,8,0,27,8,0,28,-4,-4,-2,0,0,0,32,13,1,5,0,11,5,0,False,False,False,183162,1
pytest-dev_pytest-10081_type_hints_rep_1_oracle_comparison.json,pytest-dev__pytest-10081,pytest-dev/pytest,type_hints,1,37,17,17,6,0,0,0,20,6,0,2,0,12,2,0,50,28,28,11,1,0,0,22,6,0,3,0,17,3,0,13,11,11,5,1,0,0,2,0,0,1,0,5,1,0,False,False,False,293948,0
pytest-dev_pytest-10356_comments_docstrings_rep_2_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,comments_docstrings,2,88,32,32,13,0,1,0,56,17,1,8,1,30,9,1,91,38,38,16,0,0,0,53,16,1,7,1,32,7,1,3,6,6,3,0,-1,0,-3,-1,0,-1,0,2,-2,0,False,False,True,6155,0
pytest-dev_pytest-10356_naming_rep_0_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,naming,0,93,55,55,24,1,2,0,38,12,1,5,1,36,7,1,50,30,30,12,0,0,0,20,6,0,2,0,18,2,0,-43,-25,-25,-12,-1,-2,0,-18,-6,-1,-3,-1,-18,-5,-1,False,False,True,-785242,1
pytest-dev_pytest-10356_remove_tests_rep_3_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,remove_tests,3,76,42,42,18,0,0,0,34,11,2,5,2,29,5,2,88,32,32,13,1,0,0,56,19,1,10,1,32,10,1,12,-10,-10,-5,1,0,0,22,8,-1,5,-1,3,5,-1,False,False,True,29807,1
pytest-dev_pytest-10356_type_hints_rep_1_oracle_comparison.json,pytest-dev__pytest-10356,pytest-dev/pytest,type_hints,1,59,35,35,15,0,0,0,24,7,0,2,0,22,2,0,62,33,33,14,0,0,0,29,8,0,2,0,22,2,0,3,-2,-2,-1,0,0,0,5,1,0,0,0,0,0,0,False,False,True,-79733,0
