instance_id,repo,base_commit,changed_source_files_profile,changed_test_files_profile,overall_status,eligible_conditions,test_signal_level,type_hints_signal_level,type_hints_rationale,annotation_nodes,naming_signal_level,naming_rationale,naming_candidates,comments_signal_level,comments_docstrings_rationale,docstring_count,comment_count,remove_tests_signal_level,decision_summary,profile_missing
astropy__astropy-14182,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,astropy/io/ascii/rst.py,astropy/io/ascii/tests/test_rst.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 50 local rename candidates before safety filtering.,50.0,high,Target surface has 11 docstrings and 5 comments.,11.0,5.0,high,Selected as a astropy/astropy task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
astropy__astropy-14365,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,astropy/io/ascii/qdp.py,astropy/io/ascii/tests/test_qdp.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 182 local rename candidates before safety filtering.,182.0,high,Target surface has 12 docstrings and 19 comments.,12.0,19.0,high,Selected as a astropy/astropy task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
astropy__astropy-14539,astropy/astropy,c0a24c1dc957a3b565294213f435fefb2ec99714,astropy/io/fits/diff.py,astropy/io/fits/tests/test_diff.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 523 local rename candidates before safety filtering.,523.0,high,Target surface has 35 docstrings and 149 comments.,35.0,149.0,high,Selected as a astropy/astropy task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
django__django-16502,django/django,246eb4836a6fb967880f838aa0d22ecfdca8b6f1,django/core/servers/basehttp.py,tests/servers/test_basehttp.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 85 local rename candidates before safety filtering.,85.0,high,Target surface has 9 docstrings and 31 comments.,9.0,31.0,high,Selected as a django/django task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
django__django-16527,django/django,bd366ca2aeffa869b7dbc0b0aa01caea75e6dc31,django/contrib/admin/templatetags/admin_modify.py,tests/admin_views/test_templatetags.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 96 local rename candidates before safety filtering.,96.0,high,Target surface has 7 docstrings and 4 comments.,7.0,4.0,high,Selected as a django/django task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
django__django-16631,django/django,9b224579875e30203d079cc2fee83b116d98eb78,django/contrib/auth/__init__.py|django/contrib/auth/base_user.py,tests/auth_tests/test_basic.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 96 local rename candidates before safety filtering.,96.0,high,Target surface has 25 docstrings and 25 comments.,25.0,25.0,high,Selected as a django/django task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
matplotlib__matplotlib-20676,matplotlib/matplotlib,6786f437df54ca7780a047203cbcfaa1db8dc542,lib/matplotlib/widgets.py,lib/matplotlib/tests/test_widgets.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 746 local rename candidates before safety filtering.,746.0,high,Target surface has 132 docstrings and 225 comments.,132.0,225.0,high,Selected as a matplotlib/matplotlib task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
matplotlib__matplotlib-23412,matplotlib/matplotlib,f06c2c3abdaf4b90285ce5ca7fedbb8ace715911,lib/matplotlib/patches.py,lib/matplotlib/tests/test_patches.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 1300 local rename candidates before safety filtering.,1300.0,high,Target surface has 230 docstrings and 271 comments.,230.0,271.0,high,Selected as a matplotlib/matplotlib task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
matplotlib__matplotlib-26291,matplotlib/matplotlib,fa68f46289adf4a8a4bc7ba97ded8258ec9d079c,lib/mpl_toolkits/axes_grid1/inset_locator.py,lib/mpl_toolkits/axes_grid1/tests/test_axes_grid1.py,GO,type_hints|naming|comments_docstrings|remove_tests,high,low,Target surface has 0 annotation nodes.,0.0,high,Target surface has 304 local rename candidates before safety filtering.,304.0,high,Target surface has 15 docstrings and 68 comments.,15.0,68.0,high,Selected as a matplotlib/matplotlib task for the next Phase 1 repo after signal screening and successful host-local gold preflight.,
pallets__flask-5014,pallets/flask,7ee9ceb71e868944a46e1ff00b506772a53a4f1d,src/flask/blueprints.py,tests/test_blueprints.py,GO,comments_docstrings|remove_tests,high,low,"The touched historical Flask surface is largely untyped, so a type-hint degradation would remove little useful information.",,medium,"Naming matters because the issue is explicitly about the `name` argument, but aggressive renaming could become unfair by obscuring the core problem statement itself.",,medium,"The changed file is documentation-rich overall, so removing comments and docstrings still strips meaningful local guidance even though the exact fix is a short guard in Blueprint initialization.",,,high,"Choose pallets__flask-5014 as the fastest credible third oracle-backed repo because it has a lightweight Python 3.11 environment, a bounded single-file pytest oracle, and a compact Blueprint source/test surface that supports both comments_docstrings and remove_tests.",
