repo,instance_id,condition,changed_file_count_delta
pallets/flask,pallets__flask-5014,remove_tests,1
pallets/flask,pallets__flask-5014,remove_tests,1
pallets/flask,pallets__flask-5014,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-10081,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-10081,naming,0
pytest-dev/pytest,pytest-dev__pytest-10081,remove_tests,1
pytest-dev/pytest,pytest-dev__pytest-10081,type_hints,0
pytest-dev/pytest,pytest-dev__pytest-10356,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-10356,naming,1
pytest-dev/pytest,pytest-dev__pytest-10356,remove_tests,1
pytest-dev/pytest,pytest-dev__pytest-10356,type_hints,0
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,1
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,1
pytest-dev/pytest,pytest-dev__pytest-7432,type_hints,0
pytest-dev/pytest,pytest-dev__pytest-7432,naming,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,remove_tests,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,0
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,comments_docstrings,-1
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,naming,0
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,remove_tests,1
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,type_hints,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,comments_docstrings,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,naming,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,remove_tests,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,type_hints,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,comments_docstrings,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,naming,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,type_hints,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,remove_tests,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,naming,1
pydata/xarray,pydata__xarray-3677,naming,14
pydata/xarray,pydata__xarray-3677,type_hints,1
pydata/xarray,pydata__xarray-3677,comments_docstrings,1
pydata/xarray,pydata__xarray-3677,remove_tests,1
pydata/xarray,pydata__xarray-4629,naming,0
pydata/xarray,pydata__xarray-4629,type_hints,0
pydata/xarray,pydata__xarray-4629,comments_docstrings,0
pydata/xarray,pydata__xarray-4629,remove_tests,0
pydata/xarray,pydata__xarray-4966,naming,2
pydata/xarray,pydata__xarray-4966,type_hints,0
pydata/xarray,pydata__xarray-4966,comments_docstrings,0
pydata/xarray,pydata__xarray-4966,remove_tests,1
sympy/sympy,sympy__sympy-11618,naming,3
sympy/sympy,sympy__sympy-11618,comments_docstrings,0
sympy/sympy,sympy__sympy-11618,remove_tests,0
sympy/sympy,sympy__sympy-11618,type_hints,0
sympy/sympy,sympy__sympy-12096,naming,6
sympy/sympy,sympy__sympy-12096,comments_docstrings,1
sympy/sympy,sympy__sympy-12096,remove_tests,1
sympy/sympy,sympy__sympy-12096,type_hints,0
sympy/sympy,sympy__sympy-12419,naming,4
sympy/sympy,sympy__sympy-12419,comments_docstrings,1
sympy/sympy,sympy__sympy-12419,remove_tests,1
sympy/sympy,sympy__sympy-12419,type_hints,0
django/django,django__django-16502,naming,6
django/django,django__django-16502,comments_docstrings,2
django/django,django__django-16502,remove_tests,7
django/django,django__django-16502,type_hints,4
django/django,django__django-16527,naming,4
django/django,django__django-16527,comments_docstrings,5
django/django,django__django-16527,remove_tests,5
django/django,django__django-16527,type_hints,4
django/django,django__django-16631,naming,4
django/django,django__django-16631,comments_docstrings,3
django/django,django__django-16631,remove_tests,5
django/django,django__django-16631,type_hints,4
psf/requests,psf__requests-1142,naming,0
psf/requests,psf__requests-1142,comments_docstrings,0
psf/requests,psf__requests-1142,remove_tests,0
psf/requests,psf__requests-1142,type_hints,0
psf/requests,psf__requests-1724,naming,1
psf/requests,psf__requests-1724,comments_docstrings,1
psf/requests,psf__requests-1724,remove_tests,0
psf/requests,psf__requests-1724,type_hints,0
psf/requests,psf__requests-1921,naming,0
psf/requests,psf__requests-1921,comments_docstrings,0
psf/requests,psf__requests-1921,remove_tests,0
psf/requests,psf__requests-1921,type_hints,0
matplotlib/matplotlib,matplotlib__matplotlib-20676,naming,20
matplotlib/matplotlib,matplotlib__matplotlib-20676,comments_docstrings,8
matplotlib/matplotlib,matplotlib__matplotlib-20676,remove_tests,8
matplotlib/matplotlib,matplotlib__matplotlib-20676,type_hints,8
matplotlib/matplotlib,matplotlib__matplotlib-23412,naming,34
matplotlib/matplotlib,matplotlib__matplotlib-23412,type_hints,8
matplotlib/matplotlib,matplotlib__matplotlib-23412,comments_docstrings,8
matplotlib/matplotlib,matplotlib__matplotlib-23412,remove_tests,8
matplotlib/matplotlib,matplotlib__matplotlib-26291,naming,8
matplotlib/matplotlib,matplotlib__matplotlib-26291,type_hints,8
matplotlib/matplotlib,matplotlib__matplotlib-26291,comments_docstrings,8
matplotlib/matplotlib,matplotlib__matplotlib-26291,remove_tests,8
pylint-dev/pylint,pylint-dev__pylint-4970,naming,0
pylint-dev/pylint,pylint-dev__pylint-4970,type_hints,0
pylint-dev/pylint,pylint-dev__pylint-4970,comments_docstrings,-1
pylint-dev/pylint,pylint-dev__pylint-4970,remove_tests,1
pylint-dev/pylint,pylint-dev__pylint-6903,naming,3
pylint-dev/pylint,pylint-dev__pylint-6903,type_hints,3
