repo,instance_id,condition,exploration_efficiency_delta
pallets/flask,pallets__flask-5014,remove_tests,-0.75
pallets/flask,pallets__flask-5014,remove_tests,-0.3333
pallets/flask,pallets__flask-5014,comments_docstrings,0.5
pytest-dev/pytest,pytest-dev__pytest-10081,comments_docstrings,0.0
pytest-dev/pytest,pytest-dev__pytest-10081,naming,-0.3333
pytest-dev/pytest,pytest-dev__pytest-10081,remove_tests,-0.8
pytest-dev/pytest,pytest-dev__pytest-10081,type_hints,0.0
pytest-dev/pytest,pytest-dev__pytest-10356,comments_docstrings,0.0667
pytest-dev/pytest,pytest-dev__pytest-10356,naming,0.0
pytest-dev/pytest,pytest-dev__pytest-10356,remove_tests,-0.25
pytest-dev/pytest,pytest-dev__pytest-10356,type_hints,0.1666999999999999
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,-0.3333
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,-0.3333
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,0.3333
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,0.0
pytest-dev/pytest,pytest-dev__pytest-7432,type_hints,0.3333
pytest-dev/pytest,pytest-dev__pytest-7432,naming,0.5
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,remove_tests,0.0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,0.3333
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,0.0
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,comments_docstrings,-0.0667
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,naming,0.0999999999999999
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,remove_tests,-0.3333
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,type_hints,0.0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,comments_docstrings,0.0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,naming,-0.3333
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,remove_tests,0.0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,type_hints,0.0
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,comments_docstrings,-0.3334
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,naming,0.3334
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,type_hints,-0.0999999999999999
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,remove_tests,-0.3889
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,naming,0.0
pydata/xarray,pydata__xarray-3677,naming,-0.2666999999999999
pydata/xarray,pydata__xarray-3677,type_hints,0.0999999999999999
pydata/xarray,pydata__xarray-3677,comments_docstrings,0.0
pydata/xarray,pydata__xarray-3677,remove_tests,-0.3
pydata/xarray,pydata__xarray-4629,naming,0.0
pydata/xarray,pydata__xarray-4629,type_hints,0.0
pydata/xarray,pydata__xarray-4629,comments_docstrings,-0.3333
pydata/xarray,pydata__xarray-4629,remove_tests,0.0
pydata/xarray,pydata__xarray-4966,naming,0.0
pydata/xarray,pydata__xarray-4966,type_hints,0.0
pydata/xarray,pydata__xarray-4966,comments_docstrings,-0.0999999999999999
pydata/xarray,pydata__xarray-4966,remove_tests,-0.3
sympy/sympy,sympy__sympy-11618,naming,0.0
sympy/sympy,sympy__sympy-11618,comments_docstrings,0.0
sympy/sympy,sympy__sympy-11618,remove_tests,0.0
sympy/sympy,sympy__sympy-11618,type_hints,0.0
sympy/sympy,sympy__sympy-12096,naming,0.0357
sympy/sympy,sympy__sympy-12096,comments_docstrings,0.1332999999999999
sympy/sympy,sympy__sympy-12096,remove_tests,-0.0857
sympy/sympy,sympy__sympy-12096,type_hints,-0.3
sympy/sympy,sympy__sympy-12419,naming,-0.1666999999999999
sympy/sympy,sympy__sympy-12419,comments_docstrings,0.1666999999999999
sympy/sympy,sympy__sympy-12419,remove_tests,-0.6667000000000001
sympy/sympy,sympy__sympy-12419,type_hints,0.0
django/django,django__django-16502,naming,0.0
django/django,django__django-16502,comments_docstrings,-0.1667
django/django,django__django-16502,remove_tests,-0.1332999999999999
django/django,django__django-16502,type_hints,-0.0999999999999999
django/django,django__django-16527,naming,0.0
django/django,django__django-16527,comments_docstrings,-0.2333
django/django,django__django-16527,remove_tests,0.0
django/django,django__django-16527,type_hints,0.1667
django/django,django__django-16631,naming,-0.0714
django/django,django__django-16631,comments_docstrings,-0.1023
django/django,django__django-16631,remove_tests,0.025
django/django,django__django-16631,type_hints,-0.0535999999999999
psf/requests,psf__requests-1142,naming,-0.25
psf/requests,psf__requests-1142,comments_docstrings,0.0
psf/requests,psf__requests-1142,remove_tests,-0.0499999999999999
psf/requests,psf__requests-1142,type_hints,0.0
psf/requests,psf__requests-1724,naming,0.0
psf/requests,psf__requests-1724,comments_docstrings,0.0
psf/requests,psf__requests-1724,remove_tests,-0.0499999999999999
psf/requests,psf__requests-1724,type_hints,-0.0499999999999999
psf/requests,psf__requests-1921,naming,0.0
psf/requests,psf__requests-1921,comments_docstrings,-0.5
psf/requests,psf__requests-1921,remove_tests,0.0
psf/requests,psf__requests-1921,type_hints,0.5
matplotlib/matplotlib,matplotlib__matplotlib-20676,naming,0.0
matplotlib/matplotlib,matplotlib__matplotlib-20676,comments_docstrings,0.3333
matplotlib/matplotlib,matplotlib__matplotlib-20676,remove_tests,0.0999999999999999
matplotlib/matplotlib,matplotlib__matplotlib-20676,type_hints,0.0
matplotlib/matplotlib,matplotlib__matplotlib-23412,naming,0.0635
matplotlib/matplotlib,matplotlib__matplotlib-23412,type_hints,0.0475999999999999
matplotlib/matplotlib,matplotlib__matplotlib-23412,comments_docstrings,-0.0357
matplotlib/matplotlib,matplotlib__matplotlib-23412,remove_tests,-0.5417
matplotlib/matplotlib,matplotlib__matplotlib-26291,naming,0.0
matplotlib/matplotlib,matplotlib__matplotlib-26291,type_hints,0.3333
matplotlib/matplotlib,matplotlib__matplotlib-26291,comments_docstrings,0.0
matplotlib/matplotlib,matplotlib__matplotlib-26291,remove_tests,0.0
pylint-dev/pylint,pylint-dev__pylint-4970,naming,-0.1667
pylint-dev/pylint,pylint-dev__pylint-4970,type_hints,0.0
pylint-dev/pylint,pylint-dev__pylint-4970,comments_docstrings,-0.1143
pylint-dev/pylint,pylint-dev__pylint-4970,remove_tests,-0.1666999999999999
pylint-dev/pylint,pylint-dev__pylint-6903,naming,-0.1666999999999999
pylint-dev/pylint,pylint-dev__pylint-6903,type_hints,0.25
pylint-dev/pylint,pylint-dev__pylint-6903,comments_docstrings,0.0999999999999999
pylint-dev/pylint,pylint-dev__pylint-6903,remove_tests,-0.4666999999999999
pylint-dev/pylint,pylint-dev__pylint-4604,naming,-0.0499999999999999
pylint-dev/pylint,pylint-dev__pylint-4604,type_hints,-0.0667
pylint-dev/pylint,pylint-dev__pylint-4604,comments_docstrings,-0.1667
pylint-dev/pylint,pylint-dev__pylint-4604,remove_tests,0.0832999999999999
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,type_hints,-0.3333
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,comments_docstrings,0.0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,remove_tests,-0.4666999999999999
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,naming,-0.3333
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,type_hints,-0.5
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,comments_docstrings,0.0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931,remove_tests,0.0
