repo,instance_id,condition,files_opened_before_first_edit_delta
pallets/flask,pallets__flask-5014,remove_tests,2
pallets/flask,pallets__flask-5014,remove_tests,1
pallets/flask,pallets__flask-5014,comments_docstrings,-2
pytest-dev/pytest,pytest-dev__pytest-10081,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-10081,naming,1
pytest-dev/pytest,pytest-dev__pytest-10081,remove_tests,3
pytest-dev/pytest,pytest-dev__pytest-10081,type_hints,0
pytest-dev/pytest,pytest-dev__pytest-10356,comments_docstrings,-1
pytest-dev/pytest,pytest-dev__pytest-10356,naming,0
pytest-dev/pytest,pytest-dev__pytest-10356,remove_tests,0
pytest-dev/pytest,pytest-dev__pytest-10356,type_hints,-1
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,0
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,-1
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,0
pytest-dev/pytest,pytest-dev__pytest-7432,type_hints,-1
pytest-dev/pytest,pytest-dev__pytest-7432,naming,-2
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,remove_tests,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,-1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,0
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,comments_docstrings,1
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,naming,-1
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,remove_tests,2
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,type_hints,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,comments_docstrings,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,naming,1
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,remove_tests,-1
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,type_hints,0
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,comments_docstrings,3
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,naming,-3
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,type_hints,1
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,remove_tests,5
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,naming,0
pydata/xarray,pydata__xarray-3677,naming,2
pydata/xarray,pydata__xarray-3677,type_hints,-1
pydata/xarray,pydata__xarray-3677,comments_docstrings,0
pydata/xarray,pydata__xarray-3677,remove_tests,1
pydata/xarray,pydata__xarray-4629,naming,0
pydata/xarray,pydata__xarray-4629,type_hints,0
pydata/xarray,pydata__xarray-4629,comments_docstrings,1
