repo,instance_id,condition,total_tokens_corrected_delta
pallets/flask,pallets__flask-5014,remove_tests,132011
pallets/flask,pallets__flask-5014,remove_tests,18215
pallets/flask,pallets__flask-5014,comments_docstrings,-20065
pytest-dev/pytest,pytest-dev__pytest-10081,comments_docstrings,50940
pytest-dev/pytest,pytest-dev__pytest-10081,naming,903142
pytest-dev/pytest,pytest-dev__pytest-10081,remove_tests,183162
pytest-dev/pytest,pytest-dev__pytest-10081,type_hints,293948
pytest-dev/pytest,pytest-dev__pytest-10356,comments_docstrings,6155
pytest-dev/pytest,pytest-dev__pytest-10356,naming,-785242
pytest-dev/pytest,pytest-dev__pytest-10356,remove_tests,29807
pytest-dev/pytest,pytest-dev__pytest-10356,type_hints,-79733
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,79840
pytest-dev/pytest,pytest-dev__pytest-7432,comments_docstrings,31656
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,-228797
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,16062
pytest-dev/pytest,pytest-dev__pytest-7432,type_hints,-41347
pytest-dev/pytest,pytest-dev__pytest-7432,naming,38916
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,remove_tests,938401
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,-118306
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,65029
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,comments_docstrings,171428
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,naming,559551
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,remove_tests,387849
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,type_hints,309896
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,comments_docstrings,58138
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,naming,136772
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,remove_tests,71624
sphinx-doc/sphinx,sphinx-doc__sphinx-9367,type_hints,153019
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,comments_docstrings,66301
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,naming,-20345
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,type_hints,-341411
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,remove_tests,44501
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,naming,150985
pydata/xarray,pydata__xarray-3677,naming,271338
pydata/xarray,pydata__xarray-3677,type_hints,-149550
pydata/xarray,pydata__xarray-3677,comments_docstrings,120813
pydata/xarray,pydata__xarray-3677,remove_tests,108563
