instance_id,repo,naming,type_hints,comments_docstrings,remove_tests
astropy__astropy-14182,astropy/astropy,-2.0,1.0,1,1
astropy__astropy-14365,astropy/astropy,0.0,0.0,-1,0
astropy__astropy-14539,astropy/astropy,1.0,1.0,1,1
django__django-16502,django/django,0.0,0.0,0,0
django__django-16527,django/django,1.0,1.0,1,1
django__django-16631,django/django,1.0,1.0,1,1
matplotlib__matplotlib-20676,matplotlib/matplotlib,-1.0,0.0,0,0
matplotlib__matplotlib-23412,matplotlib/matplotlib,-2.0,1.0,1,1
matplotlib__matplotlib-26291,matplotlib/matplotlib,1.0,1.0,1,1
pallets__flask-5014,pallets/flask,,,1,1
psf__requests-1142,psf/requests,-2.0,0.0,0,1
psf__requests-1724,psf/requests,-2.0,1.0,1,1
psf__requests-1921,psf/requests,-2.0,0.0,1,1
pydata__xarray-3677,pydata/xarray,-2.0,1.0,1,1
pydata__xarray-4629,pydata/xarray,-2.0,1.0,1,1
pydata__xarray-4966,pydata/xarray,-2.0,1.0,1,1
pylint-dev__pylint-4604,pylint-dev/pylint,0.0,0.0,0,0
pylint-dev__pylint-4970,pylint-dev/pylint,0.0,0.0,0,0
pylint-dev__pylint-6903,pylint-dev/pylint,1.0,1.0,1,1
pytest-dev__pytest-10081,pytest-dev/pytest,1.0,1.0,1,1
pytest-dev__pytest-10356,pytest-dev/pytest,0.0,0.0,0,0
pytest-dev__pytest-7432,pytest-dev/pytest,1.0,1.0,1,1
scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,1.0,1.0,1,1
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,-2.0,1.0,1,1
scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,1.0,1.0,1,1
scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,,,1,1
sphinx-doc__sphinx-10449,sphinx-doc/sphinx,1.0,1.0,1,1
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,1.0,1.0,1,1
sphinx-doc__sphinx-9673,sphinx-doc/sphinx,1.0,1.0,1,1
sympy__sympy-11618,sympy/sympy,-2.0,1.0,1,1
sympy__sympy-12096,sympy/sympy,1.0,1.0,1,1
sympy__sympy-12419,sympy/sympy,-2.0,1.0,1,1
