repo,instance_id,condition,clean_success,degraded_success,total_tokens_corrected_delta,changed_file_count_delta,files_opened_before_first_edit_delta,comparison_path
pytest-dev/pytest,pytest-dev__pytest-10356,naming,False,False,-785242,1,0,archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10356_naming_rep_0_oracle_comparison.json
django/django,django__django-16631,remove_tests,True,True,-675973,5,-3,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16631_remove_tests_rep_3_oracle_comparison.json
django/django,django__django-16502,comments_docstrings,False,False,-590973,2,2,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16502_comments_docstrings_rep_2_oracle_comparison.json
pylint-dev/pylint,pylint-dev__pylint-4604,type_hints,False,False,-543644,0,-2,archive/provenance/dev/active/bootstrap-2026-04-22/pylint-dev_pylint-4604_type_hints_rep_1_oracle_comparison.json
psf/requests,psf__requests-1921,remove_tests,True,True,-465673,0,0,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1921_remove_tests_rep_3_oracle_comparison.json
pylint-dev/pylint,pylint-dev__pylint-4970,remove_tests,False,False,-457104,1,-1,archive/provenance/dev/active/bootstrap-2026-04-22/pylint-dev_pylint-4970_remove_tests_rep_3_oracle_comparison.json
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,remove_tests,True,True,-441090,1,2,archive/provenance/dev/active/bootstrap-2026-04-22/scikit-learn_scikit-learn-25232_remove_tests_rep_3_oracle_comparison.json
pylint-dev/pylint,pylint-dev__pylint-4970,type_hints,False,False,-348794,0,0,archive/provenance/dev/active/bootstrap-2026-04-22/pylint-dev_pylint-4970_type_hints_rep_1_oracle_comparison.json
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,type_hints,True,True,-341411,0,1,archive/provenance/dev/active/bootstrap-2026-04-22/sphinx-doc_sphinx-9673_type_hints_rep_1_oracle_comparison.json
matplotlib/matplotlib,matplotlib__matplotlib-20676,remove_tests,False,False,-313381,8,-3,archive/provenance/dev/active/bootstrap-2026-04-22/matplotlib_matplotlib-20676_remove_tests_rep_3_oracle_comparison.json
sympy/sympy,sympy__sympy-12096,type_hints,True,True,-309104,0,3,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-12096_type_hints_rep_1_oracle_comparison.json
django/django,django__django-16527,type_hints,True,True,-269709,4,-2,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16527_type_hints_rep_1_oracle_comparison.json
astropy/astropy,astropy__astropy-14365,naming,False,False,-242065,0,0,archive/provenance/dev/active/bootstrap-2026-04-22/astropy_astropy-14365_naming_rep_0_oracle_comparison.json
pytest-dev/pytest,pytest-dev__pytest-7432,remove_tests,True,True,-228797,1,-1,archive/provenance/dev/active/bootstrap-2026-04-22/rep_3_remove_tests_oracle_comparison.json
psf/requests,psf__requests-1724,remove_tests,True,True,-210068,0,1,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1724_remove_tests_rep_3_oracle_comparison.json
django/django,django__django-16631,naming,True,True,-202482,4,1,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16631_naming_rep_0_oracle_comparison.json
pylint-dev/pylint,pylint-dev__pylint-6903,remove_tests,True,True,-179190,2,2,archive/provenance/dev/active/bootstrap-2026-04-22/pylint-dev_pylint-6903_remove_tests_rep_3_oracle_comparison.json
sympy/sympy,sympy__sympy-11618,type_hints,True,True,-167411,0,0,archive/provenance/dev/active/bootstrap-2026-04-22/sympy_sympy-11618_type_hints_rep_1_oracle_comparison.json
pydata/xarray,pydata__xarray-3677,type_hints,True,True,-149550,1,-1,archive/provenance/dev/active/bootstrap-2026-04-22/pydata_xarray-3677_type_hints_rep_1_oracle_comparison.json
matplotlib/matplotlib,matplotlib__matplotlib-20676,type_hints,False,False,-146668,8,0,archive/provenance/dev/active/bootstrap-2026-04-22/matplotlib_matplotlib-20676_type_hints_rep_1_oracle_comparison.json
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,comments_docstrings,True,True,-118306,1,-1,archive/provenance/dev/active/bootstrap-2026-04-22/sklearn_rep_0_oracle_comparison.json
astropy/astropy,astropy__astropy-14539,type_hints,True,True,-104272,0,0,archive/provenance/dev/active/bootstrap-2026-04-22/astropy_astropy-14539_type_hints_rep_1_oracle_comparison.json
psf/requests,psf__requests-1921,comments_docstrings,True,True,-95490,0,1,archive/provenance/dev/active/bootstrap-2026-04-22/psf_requests-1921_comments_docstrings_rep_2_oracle_comparison.json
pytest-dev/pytest,pytest-dev__pytest-10356,type_hints,False,False,-79733,0,-1,archive/provenance/dev/active/bootstrap-2026-04-22/pytest-dev_pytest-10356_type_hints_rep_1_oracle_comparison.json
django/django,django__django-16502,type_hints,False,False,-70911,4,1,archive/provenance/dev/active/bootstrap-2026-04-22/django_django-16502_type_hints_rep_1_oracle_comparison.json
