comparison_file,side,instance_id,repo,condition,chosen_condition,replication_index,target_success,fail_to_pass_failed_count,pass_to_pass_failed_count,log_path,event_count,first_edit_event_index,first_edit_observed,bootstrap_event_count,bootstrap_command_count,bootstrap_failed_command_count,bootstrap_edit_event_count,bootstrap_agent_message_count,bootstrap_test_command_count,bootstrap_failed_test_command_count,bootstrap_test_commands,bootstrap_failed_test_commands,execution_event_count,execution_command_count,execution_failed_command_count,execution_edit_event_count,execution_agent_message_count,execution_test_command_count,execution_failed_test_command_count,execution_test_commands,execution_failed_test_commands,total_command_count,total_test_command_count,total_failed_test_command_count
flask_remove_tests_rep_1_oracle_comparison.json,clean,pallets__flask-5014,pallets/flask,clean,remove_tests,1,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pallets__flask-5014/codex-cli/clean/rep_1/logs/agent_stdout.jsonl,37,24,True,24,8,1,0,5,0,0,,,13,3,0,1,2,1,0,/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_blueprints.py',,11,1,0
flask_remove_tests_rep_1_oracle_comparison.json,degraded,pallets__flask-5014,pallets/flask,remove_tests,remove_tests,1,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pallets__flask-5014/codex-cli/remove_tests/rep_1/logs/agent_stdout.jsonl,54,34,True,34,12,1,0,6,1,0,/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py -k blueprint',,20,6,1,1,3,3,1,"/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py'|/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py -k ""blueprint or inject_blueprint_url_defaults""'|/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py -k ""blueprint_name_must_not_be_empty""'",/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py',18,4,1
flask_remove_tests_rep_2_oracle_comparison.json,clean,pallets__flask-5014,pallets/flask,clean,remove_tests,2,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pallets__flask-5014/codex-cli/clean/rep_2/logs/agent_stdout.jsonl,41,19,True,19,6,0,0,3,0,0,,,22,6,1,1,4,2,1,/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_blueprints.py -q'|/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest -q',/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest -q',12,2,1
flask_remove_tests_rep_2_oracle_comparison.json,degraded,pallets__flask-5014,pallets/flask,remove_tests,remove_tests,2,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pallets__flask-5014/codex-cli/remove_tests/rep_2/logs/agent_stdout.jsonl,56,29,True,29,12,0,0,3,0,0,,,27,9,1,2,4,3,1,/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py::test_blueprint_requires_name'|/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py'|/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py -k blueprint',/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_basic.py',21,3,1
flask_rep_0_oracle_comparison.json,clean,pallets__flask-5014,pallets/flask,clean,comments_docstrings,0,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pallets__flask-5014/codex-cli/clean/rep_0/logs/agent_stdout.jsonl,58,29,True,29,11,0,0,5,0,0,,,29,9,1,2,6,2,1,/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest tests/test_blueprints.py'|/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_blueprints.py',/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest tests/test_blueprints.py',20,2,1
flask_rep_0_oracle_comparison.json,degraded,pallets__flask-5014,pallets/flask,comments_docstrings,comments_docstrings,0,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pallets__flask-5014/codex-cli/comments_docstrings/rep_0/logs/agent_stdout.jsonl,50,23,True,23,8,0,0,4,0,0,,,27,9,1,1,4,3,1,"/usr/bin/bash -lc ""./.pilot-venv-py39/bin/python -m pytest tests/test_blueprints.py -k 'empty_name_not_allowed or dotted_name_not_allowed or unique_blueprint_names or self_registration'""|/usr/bin/bash -lc ""./.pilot-venv-py311/bin/python -m pytest tests/test_blueprints.py -k 'empty_name_not_allowed or dotted_name_not_allowed or unique_blueprint_names or self_registration'""|/usr/bin/bash -lc './.pilot-venv-py311/bin/python -m pytest tests/test_blueprints.py'","/usr/bin/bash -lc ""./.pilot-venv-py39/bin/python -m pytest tests/test_blueprints.py -k 'empty_name_not_allowed or dotted_name_not_allowed or unique_blueprint_names or self_registration'""",17,3,1
pytest-dev_pytest-10081_comments_docstrings_rep_2_oracle_comparison.json,clean,pytest-dev__pytest-10081,pytest-dev/pytest,clean,comments_docstrings,2,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pytest-dev__pytest-10081/codex-cli/clean/rep_2/logs/agent_stdout.jsonl,44,26,True,26,10,0,0,4,2,0,"/usr/bin/bash -lc ""./.pilot-venv-py39/bin/python - <<'PY'
import unittest

@unittest.skip('class')
class ClassSkipped(unittest.TestCase):
    def test_one(self):
        pass

class MethodSkipped(unittest.TestCase):
    @unittest.skip('method')
    def test_one(self):
        pass

for case in [ClassSkipped('test_one'), MethodSkipped('test_one')]:
    method = getattr(case, 'test_one')
    print(type(case).__name__, getattr(case, '__unittest_skip__', False), getattr(method, '__unittest_skip__', False))
PY""|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_skipped -q'",,18,5,0,2,3,2,0,/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_called testing/test_unittest.py::test_pdb_teardown_skipped testing/test_unittest.py::test_pdb_teardown_class_skipped -q'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py -q',,15,4,0
pytest-dev_pytest-10081_comments_docstrings_rep_2_oracle_comparison.json,degraded,pytest-dev__pytest-10081,pytest-dev/pytest,comments_docstrings,comments_docstrings,2,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pytest-dev__pytest-10081/codex-cli/comments_docstrings/rep_2/logs/agent_stdout.jsonl,49,29,True,29,11,0,0,5,1,0,/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_skipped -q',,20,6,0,2,3,2,0,/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_called testing/test_unittest.py::test_pdb_teardown_skipped testing/test_unittest.py::test_pdb_teardown_skipped_for_unittest_skip_class -q'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py -q',,17,3,0
pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,clean,pytest-dev__pytest-10081,pytest-dev/pytest,clean,naming,0,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pytest-dev__pytest-10081/codex-cli/clean/rep_0/logs/agent_stdout.jsonl,40,22,True,22,8,1,0,4,2,0,"/usr/bin/bash -lc ""./.pilot-venv-py39/bin/python - <<'PY'
import unittest

@unittest.skip('hello')
class MyTestCase(unittest.TestCase):
    def test_one(self):
        pass

case = MyTestCase('test_one')
print(getattr(MyTestCase, '__unittest_skip__', None))
print(getattr(case, '__unittest_skip__', None))
print(getattr(MyTestCase.test_one, '__unittest_skip__', None))
print(getattr(case.test_one, '__unittest_skip__', None))
PY""|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_skipped -q'",,18,6,0,1,3,2,0,/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_called testing/test_unittest.py::test_pdb_teardown_skipped testing/test_unittest.py::test_pdb_teardown_skipped_for_class_skip -q'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py -q',,14,4,0
pytest-dev_pytest-10081_naming_rep_0_oracle_comparison.json,degraded,pytest-dev__pytest-10081,pytest-dev/pytest,naming,naming,0,True,0,0,<LOCAL_SWEBENCH_RUN_ROOT>/runs/pytest-dev__pytest-10081/codex-cli/naming/rep_0/logs/agent_stdout.jsonl,71,18,True,18,6,0,0,3,0,0,,,53,16,3,4,8,9,3,/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_called testing/test_unittest.py::test_pdb_teardown_skipped testing/test_unittest.py::test_pdb_teardown_skipped_for_unittest_skip_on_class'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_simple_unittest -q'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_simple_unittest -q'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_called testing/test_unittest.py::test_pdb_teardown_skipped testing/test_unittest.py::test_pdb_teardown_skipped_for_unittest_skip_on_class'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_traceback_pruning -q'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_called testing/test_unittest.py::test_pdb_teardown_skipped testing/test_unittest.py::test_pdb_teardown_skipped_for_unittest_skip_on_class'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_debugging.py::TestPDB::test_pdb_unittest_skip -q',/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_pdb_teardown_called testing/test_unittest.py::test_pdb_teardown_skipped testing/test_unittest.py::test_pdb_teardown_skipped_for_unittest_skip_on_class'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py::test_simple_unittest -q'|/usr/bin/bash -lc './.pilot-venv-py39/bin/python -m pytest testing/test_unittest.py',22,9,3
